1-2-1_v,1-2-0_v,1-2-3_v,1-2-2_v,1-2-5_v,1-2-4_v,1-2-13_v,1-2-7_v,1-2-6_v,1-2-9_v,1-2-8_v,1-2-10_v,1-2-12_v,1-2-11_v,csvTime
6975,6977,10,6972,6,9,0.0,2,9,96,10,6005,2507,9,2024-05-16 16:48:04
6977,6979,10,6975,6,9,0.0,2,10,96,10,6005,2601,6,2024-05-16 16:49:04
6977,6979,10,6975,6,9,0.0,2,9,96,10,6011,2616,0,2024-05-16 16:50:04
6976,6977,10,6974,6,9,0.0,2,9,96,10,5999,2616,2,2024-05-16 16:51:04
6974,6976,11,6972,7,9,0.0,2,10,96,10,6005,2268,5,2024-05-16 16:52:04
6975,6976,10,6973,6,9,0.0,2,9,96,10,5999,2578,0,2024-05-16 16:53:05
6977,6979,11,6976,8,10,0.0,3,10,96,11,6011,1852,2,2024-05-16 16:54:05
6976,6978,12,6974,10,11,0.0,3,11,96,11,6009,1295,4,2024-05-16 16:55:05
6975,6977,10,6973,6,9,0.0,2,9,96,10,6012,2581,8,2024-05-16 16:56:06
6977,6979,10,6975,9,10,0.0,3,10,96,10,6011,925,3,2024-05-16 16:57:06
6977,6979,11,6975,8,10,0.0,3,10,96,11,6012,1530,4,2024-05-16 16:58:06
6975,6977,10,6973,6,9,0.0,2,9,96,10,6009,2632,0,2024-05-16 17:00:07
6974,6974,10,6973,6,9,0.0,2,9,96,10,5993,2668,2,2024-05-16 17:01:07
6975,6976,10,6973,6,9,0.0,2,9,96,10,6011,2597,3,2024-05-16 17:02:07
6976,6979,10,6974,6,9,0.0,2,9,96,10,6010,2633,0,2024-05-16 17:03:07
6975,6977,10,6973,6,9,0.0,2,9,96,10,6013,2525,5,2024-05-16 17:04:08
6976,6978,10,6974,6,9,0.0,2,9,96,10,6014,2605,3,2024-05-16 17:05:08
6976,6977,10,6974,6,9,0.0,2,9,96,10,5994,2626,0,2024-05-16 17:06:08
6977,6978,10,6975,6,9,0.0,2,9,96,10,6010,2543,0,2024-05-16 17:07:08
6976,6977,10,6974,7,9,0.0,3,8,95,8,6010,2127,3,2024-05-16 17:08:08
6968,6969,18,6967,17,18,0.0,4,17,96,18,6041,10,2,2024-05-16 17:09:09
6978,6980,10,6976,6,9,0.0,2,10,96,10,6009,2623,8,2024-05-16 17:10:09
6977,6979,10,6975,6,9,0.0,2,9,96,10,6010,2529,2,2024-05-16 17:11:09
6977,6979,10,6975,6,9,0.0,2,9,96,10,6008,2647,0,2024-05-16 17:12:10
6977,6979,10,6975,6,9,0.0,2,9,96,10,6007,2617,0,2024-05-16 17:13:10
6952,6954,10,6949,6,9,0.0,2,9,96,10,6007,2625,7,2024-05-16 17:14:10
6977,6979,11,6975,7,9,0.0,3,10,96,11,6008,2230,2,2024-05-16 17:15:10
6977,6980,10,6975,6,9,0.0,2,9,96,10,6008,2576,2,2024-05-16 17:16:10
6978,6980,10,6975,6,9,0.0,2,9,96,10,6008,2563,8,2024-05-16 17:17:11
6976,6977,10,6975,6,9,0.0,2,9,96,10,6008,2623,0,2024-05-16 17:18:11
6976,6978,10,6974,6,9,0.0,2,9,96,10,6009,2601,0,2024-05-16 17:19:11
6974,6976,10,6972,6,9,0.0,2,9,96,10,6009,2579,5,2024-05-16 17:20:11
6977,6979,0,6975,0,0,0.0,1,3,100,3,6007,0,5,2024-05-16 17:21:11
6976,6977,10,6974,6,9,0.0,2,9,96,10,6010,2576,3,2024-05-16 17:22:12
6977,6979,10,6975,6,9,0.0,2,9,96,10,5997,2625,7,2024-05-16 17:23:12
6975,6976,10,6974,7,9,0.0,2,10,96,10,6010,2285,3,2024-05-16 17:24:12
6973,6975,10,6971,6,9,0.0,2,9,96,10,6011,2674,5,2024-05-16 17:25:12
6975,6976,10,6973,6,9,0.0,2,9,96,10,6010,2641,3,2024-05-16 17:26:13
6973,6975,10,6972,6,9,0.0,2,9,96,10,6005,2573,2,2024-05-16 17:27:13
6975,6976,10,6973,6,9,0.0,2,9,96,10,6001,2611,6,2024-05-16 17:28:13
6972,6973,24,6971,22,23,0.0,4,21,97,22,6008,411,0,2024-05-16 17:29:13
6975,6977,35,6974,34,34,0.0,6,29,97,30,6003,250,6,2024-05-16 17:30:14
6975,6977,11,6973,8,9,0.0,3,10,95,10,6001,1688,4,2024-05-16 17:31:14
6977,6979,11,6976,8,10,0.0,3,11,96,11,6010,1596,3,2024-05-16 17:32:14
6976,6977,10,6974,7,9,0.0,2,9,96,10,6010,1950,0,2024-05-16 17:33:14
6976,6977,10,6974,6,9,0.0,2,9,96,10,6009,2507,7,2024-05-16 17:34:15
6975,6977,10,6972,6,9,0.0,2,9,96,10,6006,2585,4,2024-05-16 17:35:15
6975,6977,10,6973,6,9,0.0,2,9,96,10,6006,2616,0,2024-05-16 17:36:15
6976,6978,10,6974,6,9,0.0,2,9,96,10,6002,2662,5,2024-05-16 17:37:15
6974,6976,10,6973,6,9,0.0,2,10,96,10,6006,2535,0,2024-05-16 17:38:15
6976,6977,10,6975,6,9,0.0,2,10,96,10,6009,2371,2,2024-05-16 17:39:16
6975,6977,10,6973,6,9,0.0,2,9,96,10,6008,2642,0,2024-05-16 17:40:16
6976,6977,10,6974,6,9,0.0,2,10,96,10,6009,2683,0,2024-05-16 17:41:16
6973,6975,10,6972,6,9,0.0,2,9,96,10,6003,2711,0,2024-05-16 17:42:17
6979,6980,10,6978,6,9,0.0,2,9,96,10,5999,2627,2,2024-05-16 17:43:17
6975,6976,10,6973,6,9,0.0,2,9,96,10,5997,2641,6,2024-05-16 17:44:18
6975,6976,31,6973,30,31,0.0,6,29,97,30,6007,329,3,2024-05-16 17:45:18
6977,6978,10,6976,6,9,0.0,2,9,96,10,6009,2537,3,2024-05-16 17:46:18
6974,6976,10,6973,6,9,0.0,2,9,96,10,6008,2634,2,2024-05-16 17:47:18
6973,6974,10,6972,6,8,0.0,2,9,95,9,6001,2566,5,2024-05-16 17:48:18
6978,6979,10,6977,7,8,0.0,3,9,95,10,5967,1923,3,2024-05-16 17:49:19
6981,6982,10,6980,6,9,0.0,2,9,96,10,6010,2665,2,2024-05-16 17:50:19
6974,6976,13,6972,12,12,0.0,3,13,96,13,6008,133,8,2024-05-16 17:51:19
6967,6969,11,6965,9,10,0.0,3,10,96,10,6004,1587,0,2024-05-16 17:52:19
6975,6977,10,6972,6,9,0.0,2,9,96,10,6008,2578,9,2024-05-16 17:53:20
6975,6977,10,6974,6,9,0.0,2,9,96,10,6008,2635,0,2024-05-16 17:54:20
6975,6977,10,6973,6,9,0.0,2,9,96,10,6009,2613,2,2024-05-16 17:55:20
6972,6974,10,6971,6,9,0.0,2,9,96,10,6008,2679,0,2024-05-16 17:56:20
6974,6975,11,6973,8,10,0.0,2,11,96,11,6010,1454,2,2024-05-16 17:57:20
6978,6979,10,6976,7,9,0.0,3,9,95,10,6012,1857,6,2024-05-16 17:58:20
6976,6976,10,6975,6,9,0.0,2,10,96,10,6010,2608,3,2024-05-16 18:00:20
6978,6979,10,6976,6,9,0.0,2,9,96,10,6008,2704,0,2024-05-16 18:01:21
6978,6980,10,6976,6,9,0.0,2,9,96,10,6008,2644,0,2024-05-16 18:02:21
6976,6978,10,6974,6,9,0.0,2,9,96,10,6008,2721,0,2024-05-16 18:03:21
6976,6978,10,6974,6,9,0.0,2,9,96,10,6009,2668,5,2024-05-16 18:04:22
6978,6979,10,6976,6,9,0.0,2,10,96,10,6009,2593,5,2024-05-16 18:05:22
6976,6978,10,6974,6,9,0.0,2,9,96,10,6011,2619,2,2024-05-16 18:06:22
6980,6981,10,6979,6,9,0.0,2,9,96,10,6004,2591,2,2024-05-16 18:07:23
6974,6976,10,6973,6,9,0.0,2,9,96,10,6003,2626,0,2024-05-16 18:08:23
6975,6977,10,6973,6,9,0.0,2,9,96,10,6012,2610,3,2024-05-16 18:09:23
6974,6976,10,6973,6,9,0.0,2,9,96,10,6005,2551,3,2024-05-16 18:10:23
6976,6979,4,6974,0,0,0.0,1,3,100,3,6010,10000,8,2024-05-16 18:11:23
6973,6975,10,6971,6,9,0.0,2,9,96,10,5994,2636,2,2024-05-16 18:12:23
6976,6977,17,6974,14,16,0.0,4,15,96,16,5994,845,3,2024-05-16 18:13:24
6974,6976,10,6972,6,9,0.0,2,9,96,10,6009,2496,3,2024-05-16 18:14:24
6974,6976,10,6972,6,9,0.0,2,10,96,10,6006,2462,0,2024-05-16 18:15:25
6975,6978,10,6973,6,9,0.0,2,9,96,10,6011,2621,0,2024-05-16 18:16:25
6974,6976,10,6973,6,9,0.0,2,9,96,10,6007,2611,0,2024-05-16 18:17:25
6974,6976,10,6973,6,9,0.0,2,9,96,10,6011,2625,0,2024-05-16 18:18:25
6975,6977,10,6973,6,9,0.0,2,9,96,10,6012,2581,0,2024-05-16 18:19:25
6972,6975,10,6970,6,9,0.0,2,10,96,10,6003,2667,3,2024-05-16 18:20:26
6973,6975,38,6971,34,36,0.0,7,35,97,36,5998,449,4,2024-05-16 18:21:26
6974,6975,10,6972,6,9,0.0,2,9,96,10,5996,2647,4,2024-05-16 18:22:27
6974,6975,10,6972,6,9,0.0,2,10,96,10,6003,2398,0,2024-05-16 18:23:27
6974,6976,10,6973,6,9,0.0,2,9,96,10,6007,2594,2,2024-05-16 18:24:27
6975,6977,10,6973,7,9,0.0,2,10,95,10,6007,2057,7,2024-05-16 18:25:28
6976,6977,10,6975,6,9,0.0,2,9,96,10,6007,2527,4,2024-05-16 18:26:28
6975,6977,12,6974,9,11,0.0,3,10,96,11,6008,1417,0,2024-05-16 18:27:28
6976,6978,11,6975,8,10,0.0,3,10,96,11,6007,1450,4,2024-05-16 18:28:28
6976,6978,10,6975,8,9,0.0,3,10,96,10,6007,1087,7,2024-05-16 18:29:29
6973,6975,14,6972,13,14,0.0,3,12,96,13,6011,933,0,2024-05-16 18:30:29
6976,6978,27,6974,25,26,0.0,4,22,97,22,6008,490,5,2024-05-16 18:31:30
6975,6977,11,6974,8,10,0.0,3,10,95,10,6008,1981,0,2024-05-16 18:32:30
6977,6978,10,6975,6,9,0.0,2,9,96,10,6013,2693,5,2024-05-16 18:33:30
6975,6977,10,6974,6,9,0.0,2,9,96,10,5977,2614,0,2024-05-16 18:34:30
6978,6980,10,6975,6,9,0.0,2,10,96,10,6008,2587,3,2024-05-16 18:35:31
6973,6975,9,6972,6,8,0.0,2,8,94,9,5995,2348,0,2024-05-16 18:36:31
6975,6977,11,6972,7,9,0.0,2,10,96,10,6009,2014,3,2024-05-16 18:37:31
6974,6976,10,6972,6,9,0.0,2,9,96,10,5993,2670,3,2024-05-16 18:38:32
6973,6975,10,6971,6,9,0.0,2,9,96,10,5996,2669,7,2024-05-16 18:39:32
6976,6978,10,6974,6,9,0.0,2,10,96,10,5997,2566,2,2024-05-16 18:40:33
6972,6974,11,6970,8,10,0.0,3,10,96,11,6000,1616,7,2024-05-16 18:41:33
6947,6949,10,6945,6,9,0.0,2,9,96,10,5988,2616,0,2024-05-16 18:42:33
6974,6976,10,6971,6,9,0.0,2,10,96,10,6009,2521,7,2024-05-16 18:43:34
6976,6978,10,6974,6,9,0.0,2,9,96,10,6011,2619,3,2024-05-16 18:44:34
6975,6978,10,6973,6,9,0.0,2,10,96,10,6011,2572,8,2024-05-16 18:45:35
6975,6977,10,6972,6,9,0.0,2,9,96,10,6010,2612,3,2024-05-16 18:46:35
6974,6976,10,6971,6,9,0.0,2,10,96,10,5997,2567,0,2024-05-16 18:47:35
6972,6974,10,6971,6,9,0.0,2,9,96,10,6000,2629,0,2024-05-16 18:48:36
6971,6973,10,6969,6,9,0.0,2,9,96,10,6000,2591,0,2024-05-16 18:49:36
6973,6975,10,6971,6,9,0.0,2,9,96,10,5993,2628,6,2024-05-16 18:50:36
6975,6977,10,6973,7,9,0.0,2,10,96,10,6007,2354,0,2024-05-16 18:51:36
6974,6977,35,6972,34,35,0.0,6,32,97,33,6013,211,8,2024-05-16 18:52:37
6973,6975,10,6971,6,9,0.0,2,9,96,10,6007,2657,7,2024-05-16 18:53:37
6975,6977,10,6972,6,9,0.0,2,9,96,10,6012,2694,8,2024-05-16 18:54:37
6977,6979,10,6975,8,9,0.0,2,10,96,10,5998,1314,3,2024-05-16 18:55:37
6976,6977,10,6974,6,9,0.0,2,9,96,10,6006,2643,0,2024-05-16 18:56:38
6976,6977,10,6974,6,9,0.0,2,9,96,10,6005,2665,3,2024-05-16 18:57:38
6975,6977,10,6972,6,9,0.0,2,9,96,10,6006,2659,8,2024-05-16 18:58:38
6978,6980,10,6976,6,9,0.0,2,9,96,10,5994,2593,0,2024-05-16 19:00:38
6976,6979,0,6973,0,0,0.0,1,2,100,3,6004,0,4,2024-05-16 19:01:38
6973,6976,0,6970,0,0,0.0,1,2,100,2,6006,0,9,2024-05-16 19:02:39
6975,6977,0,6972,0,0,0.0,1,2,100,2,6005,0,5,2024-05-16 19:03:39
6976,6978,0,6974,0,0,0.0,1,2,100,2,6006,0,8,2024-05-16 19:04:39
6976,6977,0,6974,0,0,0.0,1,2,100,2,6005,0,4,2024-05-16 19:05:39
6976,6978,0,6975,0,0,0.0,1,2,100,2,5999,0,2,2024-05-16 19:06:39
6977,6978,0,6976,0,0,0.0,1,2,100,2,5999,0,0,2024-05-16 19:07:39
6964,6966,29,6962,26,28,0.0,5,28,97,28,6038,469,0,2024-05-16 19:08:40
6973,6974,11,6972,7,9,0.0,3,10,96,11,5982,2201,2,2024-05-16 19:09:40
6947,6949,10,6945,6,9,0.0,2,9,96,10,6011,2736,3,2024-05-16 19:10:41
6976,6978,10,6974,6,9,0.0,2,9,96,10,6010,2666,0,2024-05-16 19:11:41
6973,6975,10,6972,6,9,0.0,2,9,96,10,6002,2692,0,2024-05-16 19:12:41
6976,6978,10,6974,6,9,0.0,2,9,96,10,6010,2655,3,2024-05-16 19:13:42
6974,6975,10,6972,6,9,0.0,2,9,96,10,6007,2689,5,2024-05-16 19:14:42
6973,6976,10,6971,6,9,0.0,2,10,96,10,6006,2472,9,2024-05-16 19:15:42
6977,6978,10,6975,6,9,0.0,2,10,96,10,6011,2625,2,2024-05-16 19:16:42
6975,6977,10,6973,6,9,0.0,2,9,96,10,6010,2577,7,2024-05-16 19:17:42
6974,6977,10,6972,8,9,0.0,3,10,96,10,6009,1285,2,2024-05-16 19:18:43
6976,6978,10,6973,6,9,0.0,2,10,96,10,6011,2470,8,2024-05-16 19:19:43
6967,6969,10,6965,6,9,0.0,2,10,96,10,6009,2000,3,2024-05-16 19:20:43
6974,6975,10,6973,7,9,0.0,2,10,96,10,6010,2295,3,2024-05-16 19:21:43
6975,6977,10,6973,7,9,0.0,2,10,96,10,6009,1552,0,2024-05-16 19:22:44
6976,6978,10,6975,6,9,0.0,2,9,96,10,6010,2615,2,2024-05-16 19:23:44
6974,6976,10,6972,6,9,0.0,2,9,96,10,6009,2639,7,2024-05-16 19:24:44
6976,6979,10,6974,6,9,0.0,2,9,96,10,6009,2639,8,2024-05-16 19:25:44
6974,6976,10,6972,6,9,0.0,2,9,96,10,6008,2623,0,2024-05-16 19:26:45
6973,6975,10,6971,6,9,0.0,2,9,96,10,6004,2668,0,2024-05-16 19:27:45
6975,6975,10,6974,6,9,0.0,2,9,96,10,6009,2384,0,2024-05-16 19:28:45
6975,6977,10,6972,6,9,0.0,2,9,96,10,6007,2528,0,2024-05-16 19:29:45
6973,6974,10,6971,6,9,0.0,2,9,96,10,6003,2671,4,2024-05-16 19:30:46
6974,6976,10,6971,6,9,0.0,2,9,96,10,6008,2624,3,2024-05-16 19:31:46
6976,6978,12,6975,9,10,0.0,3,10,96,11,6004,1671,2,2024-05-16 19:32:46
6973,6974,10,6971,6,9,0.0,2,9,96,10,6006,2584,0,2024-05-16 19:33:46
6974,6975,10,6973,6,9,0.0,2,10,96,10,5984,2436,5,2024-05-16 19:34:47
6973,6974,10,6972,6,9,0.0,2,9,96,10,5994,2576,0,2024-05-16 19:35:47
6977,6979,10,6975,7,9,0.0,3,9,95,10,6021,1838,2,2024-05-16 19:36:47
6974,6976,10,6972,6,9,0.0,2,9,96,10,6011,2643,7,2024-05-16 19:37:47
6973,6975,10,6972,6,9,0.0,2,9,96,10,6006,2685,0,2024-05-16 19:38:47
6975,6976,10,6973,6,9,0.0,2,9,96,10,6000,2583,0,2024-05-16 19:39:47
6976,6978,10,6974,6,9,0.0,2,9,96,10,6004,2677,5,2024-05-16 19:40:48
6974,6977,10,6972,6,9,0.0,2,9,96,10,6011,2649,5,2024-05-16 19:41:48
6975,6977,10,6974,6,9,0.0,2,9,96,10,6008,2663,0,2024-05-16 19:42:48
6976,6978,10,6973,6,9,0.0,2,9,96,10,6010,2480,5,2024-05-16 19:43:50
6975,6977,10,6973,6,9,0.0,2,10,96,10,6006,2496,0,2024-05-16 19:44:50
6976,6977,10,6974,6,9,0.0,2,9,96,10,6006,2607,2,2024-05-16 19:45:51
6974,6976,12,6973,10,11,0.0,3,11,96,11,5997,1181,5,2024-05-16 19:46:51
6975,6977,11,6974,8,10,0.0,2,10,96,11,6004,1748,7,2024-05-16 19:47:51
6979,6980,12,6978,9,11,0.0,3,11,96,11,5964,1133,3,2024-05-16 19:48:52
6976,6978,10,6975,6,9,0.0,2,9,96,10,6007,2630,3,2024-05-16 19:49:52
6977,6978,10,6976,6,9,0.0,2,9,96,10,6007,2687,3,2024-05-16 19:50:52
6973,6980,10,6972,6,9,0.0,2,9,96,10,5999,2645,0,2024-05-16 19:51:53
6978,6979,10,6976,7,9,0.0,2,10,96,10,6008,2394,0,2024-05-16 19:52:53
6976,6978,11,6974,8,10,0.0,2,10,96,10,6006,1944,0,2024-05-16 19:53:53
6977,6978,10,6975,6,9,0.0,2,9,96,10,6005,2703,0,2024-05-16 19:54:54
6973,6976,11,6970,9,10,0.0,2,10,96,10,6007,1652,10,2024-05-16 19:55:54
6974,6976,10,6972,6,9,0.0,2,9,96,10,6005,2572,8,2024-05-16 19:56:55
6974,6976,10,6971,6,9,0.0,2,9,96,10,6005,2715,9,2024-05-16 19:57:55
6974,6977,10,6972,7,9,0.0,2,10,96,10,6007,2123,7,2024-05-16 19:58:56
6975,6977,10,6972,6,9,0.0,2,10,96,10,6006,2569,4,2024-05-16 20:00:56
6975,6977,12,6972,9,11,0.0,3,11,96,12,6006,1066,4,2024-05-16 20:01:56
6974,6976,10,6971,6,9,0.0,2,10,96,10,6008,2552,6,2024-05-16 20:02:56
6974,6977,10,6971,6,9,0.0,2,10,96,10,6008,2547,8,2024-05-16 20:03:57
6973,6976,10,6970,8,9,0.0,2,10,96,10,6010,1749,4,2024-05-16 20:04:57
6975,6977,10,6972,6,9,0.0,2,9,96,10,6008,2658,2,2024-05-16 20:05:57
6976,6978,10,6974,6,9,0.0,2,10,96,10,6009,2567,7,2024-05-16 20:06:58
6974,6975,10,6972,6,9,0.0,2,9,96,10,6009,2637,2,2024-05-16 20:07:58
6975,6976,10,6974,6,9,0.0,2,9,96,10,6009,2619,2,2024-05-16 20:08:58
6973,6974,10,6971,6,9,0.0,2,10,96,10,6009,2600,3,2024-05-16 20:09:58
6974,6976,10,6971,6,9,0.0,2,10,96,10,6010,2531,9,2024-05-16 20:10:58
6974,6976,11,6971,7,9,0.0,2,10,96,10,6009,2114,7,2024-05-16 20:11:59
6975,6977,12,6974,10,11,0.0,3,11,96,12,6010,570,0,2024-05-16 20:12:59
6975,6976,10,6974,6,9,0.0,2,9,96,10,6011,2530,3,2024-05-16 20:13:59
6973,6974,10,6972,7,9,0.0,2,10,96,10,6012,1920,0,2024-05-16 20:15:00
6976,6978,10,6974,6,9,0.0,2,10,96,10,6010,2517,4,2024-05-16 20:16:00
6975,6977,10,6973,6,9,0.0,2,9,96,10,6009,2571,0,2024-05-16 20:17:00
6972,6974,10,6971,6,9,0.0,2,9,96,10,6008,2609,6,2024-05-16 20:18:00
6973,6975,10,6971,6,9,0.0,2,9,96,10,6014,2692,5,2024-05-16 20:19:00
6972,6973,10,6971,6,9,0.0,2,9,96,10,6001,2652,0,2024-05-16 20:20:01
6976,6978,10,6973,6,9,0.0,2,9,96,10,5996,2629,5,2024-05-16 20:21:01
6971,6972,10,6969,6,9,0.0,2,9,96,10,5991,2624,2,2024-05-16 20:22:01
6972,6973,10,6971,6,9,0.0,2,9,96,10,5995,2657,0,2024-05-16 20:23:01
6974,6976,11,6972,8,9,0.0,2,10,96,11,6005,1657,6,2024-05-16 20:24:01
6973,6975,10,6971,6,9,0.0,2,9,96,10,6003,2516,2,2024-05-16 20:25:02
6975,6976,10,6974,6,9,0.0,2,10,96,10,6006,2422,0,2024-05-16 20:26:02
6974,6976,10,6973,6,9,0.0,2,9,96,10,6005,2634,5,2024-05-16 20:27:02
6974,6975,10,6972,6,9,0.0,2,10,96,10,6006,2558,0,2024-05-16 20:28:02
6977,6979,12,6975,10,11,0.0,3,12,96,12,6007,581,0,2024-05-16 20:29:02
6976,6978,10,6974,6,9,0.0,2,9,96,10,6007,2593,2,2024-05-16 20:30:03
6974,6976,10,6973,7,9,0.0,2,10,96,10,6006,1923,2,2024-05-16 20:31:03
6973,6975,12,6971,9,11,0.0,3,11,96,11,6007,1503,2,2024-05-16 20:32:03
6976,6978,10,6974,8,9,0.0,2,10,96,11,6006,1216,4,2024-05-16 20:33:04
6975,6978,10,6973,7,9,0.0,2,10,96,10,6008,2454,0,2024-05-16 20:34:04
6977,6979,11,6975,8,10,0.0,3,10,96,10,6009,1257,3,2024-05-16 20:35:04
6974,6976,10,6972,8,9,0.0,2,10,96,10,6009,1770,0,2024-05-16 20:36:05
6975,6977,10,6973,6,9,0.0,2,10,96,10,6008,2409,6,2024-05-16 20:37:05
6973,6974,10,6971,6,9,0.0,2,10,96,10,6009,2545,0,2024-05-16 20:38:05
6975,6977,10,6973,6,9,0.0,2,9,96,10,6011,2681,2,2024-05-16 20:39:06
6988,6990,11,6986,8,10,0.0,2,10,96,11,6008,1763,8,2024-05-16 20:40:06
6977,6978,10,6975,6,9,0.0,2,9,96,10,6010,2581,2,2024-05-16 20:41:06
6977,6979,10,6975,7,9,0.0,2,10,96,10,6010,2124,7,2024-05-16 20:42:07
6965,6966,10,6963,6,9,0.0,2,10,96,10,6006,2637,3,2024-05-16 20:43:07
6977,6979,10,6975,6,9,0.0,2,9,96,10,6008,2657,2,2024-05-16 20:44:07
6975,6976,10,6974,6,9,0.0,2,9,96,10,6008,2613,2,2024-05-16 20:45:07
6975,6977,10,6973,6,9,0.0,2,9,96,10,6007,2679,5,2024-05-16 20:46:07
6976,6978,10,6975,6,9,0.0,2,9,96,10,6007,2645,0,2024-05-16 20:47:08
6975,6977,1,6973,0,0,0.0,1,3,100,3,6004,10000,7,2024-05-16 20:48:08
6974,6976,10,6972,6,9,0.0,2,10,96,10,6008,2420,5,2024-05-16 20:49:08
6975,6976,10,6973,6,9,0.0,2,9,96,10,6003,2633,3,2024-05-16 20:50:08
6973,6975,10,6971,6,9,0.0,2,9,96,10,5999,2573,5,2024-05-16 20:51:08
6973,6975,10,6971,6,9,0.0,2,9,96,10,6004,2657,8,2024-05-16 20:52:08
