P1_75,csvTime,P1_66
224,2024-05-16 17:22:00,0
238,2024-05-16 17:22:59,0
237,2024-05-16 17:23:59,0
246,2024-05-16 17:24:59,0
228,2024-05-16 17:25:59,0
282,2024-05-16 17:26:59,0
332,2024-05-16 17:28:00,0
307,2024-05-16 17:28:59,0
378,2024-05-16 17:29:59,0
362,2024-05-16 17:31:00,0
244,2024-05-16 17:31:59,0
236,2024-05-16 17:32:59,0
235,2024-05-16 17:33:59,0
276,2024-05-16 17:35:00,0
274,2024-05-16 17:35:59,0
318,2024-05-16 17:37:00,0
304,2024-05-16 17:37:59,0
241,2024-05-16 17:38:59,0
261,2024-05-16 17:40:00,0
247,2024-05-16 17:40:59,0
359,2024-05-16 17:41:59,0
406,2024-05-16 17:42:59,0
448,2024-05-16 17:43:59,0
400,2024-05-16 17:44:59,0
345,2024-05-16 17:45:59,0
241,2024-05-16 17:46:59,0
325,2024-05-16 17:47:59,0
376,2024-05-16 17:48:59,0
288,2024-05-16 17:49:59,0
290,2024-05-16 17:51:00,0
268,2024-05-16 17:51:59,0
274,2024-05-16 17:53:00,0
274,2024-05-16 17:53:59,0
276,2024-05-16 17:54:59,0
381,2024-05-16 17:55:59,0
279,2024-05-16 17:56:59,0
222,2024-05-16 17:57:59,0
260,2024-05-16 17:58:59,0
276,2024-05-16 18:00:00,0
277,2024-05-16 18:00:59,0
290,2024-05-16 18:01:59,0
274,2024-05-16 18:02:59,0
285,2024-05-16 18:04:00,0
219,2024-05-16 18:05:00,0
219,2024-05-16 18:06:00,0
244,2024-05-16 18:06:59,0
311,2024-05-16 18:07:59,0
226,2024-05-16 18:08:59,0
351,2024-05-16 18:09:59,0
351,2024-05-16 18:10:59,0
441,2024-05-16 18:11:59,0
436,2024-05-16 18:13:00,0
290,2024-05-16 18:14:00,0
315,2024-05-16 18:15:00,0
235,2024-05-16 18:15:59,0
343,2024-05-16 18:16:59,0
233,2024-05-16 18:17:59,0
224,2024-05-16 18:18:59,0
395,2024-05-16 18:19:59,0
420,2024-05-16 18:20:59,0
400,2024-05-16 18:22:00,0
340,2024-05-16 18:22:59,0
420,2024-05-16 18:23:59,0
340,2024-05-16 18:24:59,0
287,2024-05-16 18:26:00,0
293,2024-05-16 18:26:59,0
290,2024-05-16 18:27:59,0
290,2024-05-16 18:28:59,0
279,2024-05-16 18:29:59,0
301,2024-05-16 18:30:59,0
323,2024-05-16 18:31:59,0
345,2024-05-16 18:32:59,0
241,2024-05-16 18:33:59,0
552,2024-05-16 18:34:59,0
210,2024-05-16 18:36:00,0
280,2024-05-16 18:36:59,0
272,2024-05-16 18:37:59,0
303,2024-05-16 18:38:59,0
345,2024-05-16 18:39:59,0
448,2024-05-16 18:40:59,0
296,2024-05-16 18:41:59,0
291,2024-05-16 18:42:59,0
288,2024-05-16 18:43:59,0
266,2024-05-16 18:44:59,0
263,2024-05-16 18:45:59,0
271,2024-05-16 18:46:59,0
467,2024-05-16 18:47:59,0
241,2024-05-16 18:48:59,0
469,2024-05-16 18:50:00,0
506,2024-05-16 18:50:59,0
246,2024-05-16 18:51:59,0
309,2024-05-16 18:53:00,0
272,2024-05-16 18:53:59,0
232,2024-05-16 18:54:59,0
365,2024-05-16 18:55:59,0
301,2024-05-16 18:56:59,0
298,2024-05-16 18:58:00,0
290,2024-05-16 18:58:59,0
345,2024-05-16 19:00:00,0
298,2024-05-16 19:00:59,0
326,2024-05-16 19:01:59,0
298,2024-05-16 19:02:59,0
285,2024-05-16 19:03:59,0
288,2024-05-16 19:04:59,0
367,2024-05-16 19:05:59,0
383,2024-05-16 19:06:59,0
434,2024-05-16 19:07:59,0
356,2024-05-16 19:08:59,0
296,2024-05-16 19:09:59,0
249,2024-05-16 19:10:59,0
311,2024-05-16 19:11:59,0
301,2024-05-16 19:12:59,0
295,2024-05-16 19:13:59,0
329,2024-05-16 19:14:59,0
334,2024-05-16 19:15:59,0
260,2024-05-16 19:16:59,0
260,2024-05-16 19:17:59,0
287,2024-05-16 19:18:59,0
287,2024-05-16 19:19:59,0
284,2024-05-16 19:21:00,0
288,2024-05-16 19:21:59,0
290,2024-05-16 19:22:59,0
282,2024-05-16 19:23:59,0
282,2024-05-16 19:25:00,0
302,2024-05-16 19:25:59,0
340,2024-05-16 19:26:59,0
282,2024-05-16 19:28:00,0
334,2024-05-16 19:28:59,0
327,2024-05-16 19:30:00,0
388,2024-05-16 19:31:00,0
341,2024-05-16 19:32:00,0
287,2024-05-16 19:33:00,0
709,2024-05-16 19:33:59,0
629,2024-05-16 19:35:00,0
673,2024-05-16 19:35:59,0
263,2024-05-16 19:36:59,0
253,2024-05-16 19:37:59,0
345,2024-05-16 19:39:00,0
341,2024-05-16 19:39:59,0
332,2024-05-16 19:40:59,0
241,2024-05-16 19:41:59,0
296,2024-05-16 19:42:59,0
254,2024-05-16 19:43:59,0
301,2024-05-16 19:44:59,0
296,2024-05-16 19:45:59,0
304,2024-05-16 19:46:59,0
456,2024-05-16 19:47:59,0
433,2024-05-16 19:48:59,0
304,2024-05-16 19:49:59,0
260,2024-05-16 19:51:00,0
214,2024-05-16 19:51:59,0
274,2024-05-16 19:52:59,0
307,2024-05-16 19:53:59,0
282,2024-05-16 19:55:00,0
285,2024-05-16 19:55:59,0
266,2024-05-16 19:56:59,0
285,2024-05-16 19:57:59,0
290,2024-05-16 19:58:59,0
312,2024-05-16 20:00:59,0
263,2024-05-16 20:01:59,0
257,2024-05-16 20:02:59,0
278,2024-05-16 20:03:59,0
266,2024-05-16 20:04:59,0
267,2024-05-16 20:05:59,0
274,2024-05-16 20:06:59,0
267,2024-05-16 20:07:59,0
274,2024-05-16 20:08:59,0
268,2024-05-16 20:09:59,0
268,2024-05-16 20:10:59,0
282,2024-05-16 20:11:59,0
265,2024-05-16 20:12:59,0
279,2024-05-16 20:13:59,0
271,2024-05-16 20:14:59,0
279,2024-05-16 20:16:00,0
276,2024-05-16 20:16:59,0
337,2024-05-16 20:17:59,0
229,2024-05-16 20:18:59,0
426,2024-05-16 20:19:59,0
270,2024-05-16 20:20:59,0
522,2024-05-16 20:21:59,0
483,2024-05-16 20:22:59,0
326,2024-05-16 20:23:59,0
315,2024-05-16 20:24:59,0
313,2024-05-16 20:25:59,0
306,2024-05-16 20:26:59,0
276,2024-05-16 20:27:59,0
243,2024-05-16 20:28:59,0
275,2024-05-16 20:29:59,0
279,2024-05-16 20:31:00,0
279,2024-05-16 20:31:59,0
277,2024-05-16 20:32:59,0
290,2024-05-16 20:34:00,0
276,2024-05-16 20:34:59,0
281,2024-05-16 20:36:00,0
274,2024-05-16 20:36:59,0
271,2024-05-16 20:37:59,0
257,2024-05-16 20:38:59,0
248,2024-05-16 20:39:59,0
252,2024-05-16 20:40:59,0
224,2024-05-16 20:41:59,0
249,2024-05-16 20:42:59,0
246,2024-05-16 20:43:59,0
268,2024-05-16 20:44:59,0
272,2024-05-16 20:45:59,0
287,2024-05-16 20:47:00,0
267,2024-05-16 20:47:59,0
257,2024-05-16 20:49:00,0
296,2024-05-16 20:49:59,0
362,2024-05-16 20:51:00,0
290,2024-05-16 20:51:59,0
318,2024-05-16 20:52:59,0
309,2024-05-16 20:54:00,0
312,2024-05-16 20:54:59,0
290,2024-05-16 20:55:59,0
346,2024-05-16 20:56:59,0
299,2024-05-16 20:57:59,0
290,2024-05-16 20:58:59,0
297,2024-05-16 22:00:00,0
309,2024-05-16 22:00:59,0
252,2024-05-16 22:01:59,0
224,2024-05-16 22:02:59,0
307,2024-05-16 22:03:59,0
293,2024-05-16 22:05:00,0
263,2024-05-16 22:05:59,0
274,2024-05-16 22:06:59,0
303,2024-05-16 22:07:59,0
301,2024-05-16 22:08:59,0
243,2024-05-16 22:09:59,0
234,2024-05-16 22:10:59,0
230,2024-05-16 22:11:59,0
241,2024-05-16 22:12:59,0
296,2024-05-16 22:13:59,0
238,2024-05-16 22:14:59,0
521,2024-05-16 22:15:59,0
261,2024-05-16 22:16:59,0
461,2024-05-16 22:18:00,0
356,2024-05-16 22:18:59,0
290,2024-05-16 22:19:59,0
329,2024-05-16 22:20:59,0
544,2024-05-16 22:22:00,0
293,2024-05-16 22:22:59,0
288,2024-05-16 22:23:59,0
255,2024-05-16 22:24:59,0
274,2024-05-16 22:25:59,0
526,2024-05-16 22:26:59,0
428,2024-05-16 22:27:59,0
296,2024-05-16 22:28:59,0
362,2024-05-16 22:29:59,0
356,2024-05-16 22:30:59,0
309,2024-05-16 22:31:59,0
309,2024-05-16 22:32:59,0
318,2024-05-16 22:34:00,0
282,2024-05-16 22:34:59,0
263,2024-05-16 22:35:59,0
241,2024-05-16 22:37:00,0
299,2024-05-16 22:37:59,0
244,2024-05-16 22:38:59,0
290,2024-05-16 22:39:59,0
291,2024-05-16 22:40:59,0
285,2024-05-16 22:41:59,0
279,2024-05-16 22:42:59,0
301,2024-05-16 22:43:59,0
296,2024-05-16 22:44:59,0
290,2024-05-16 22:45:59,0
279,2024-05-16 22:46:59,0
290,2024-05-16 22:47:59,0
207,2024-05-16 22:48:59,0
153,2024-05-16 22:50:00,0
150,2024-05-16 22:50:59,0
175,2024-05-16 22:51:59,0
213,2024-05-16 22:52:59,0
238,2024-05-16 22:53:59,0
188,2024-05-16 22:54:59,0
205,2024-05-16 22:55:59,0
183,2024-05-16 22:56:59,0
184,2024-05-16 22:57:59,0
199,2024-05-16 22:58:59,0
230,2024-05-16 23:00:59,0
326,2024-05-16 23:02:00,0
315,2024-05-16 23:02:59,0
313,2024-05-16 23:03:59,0
263,2024-05-16 23:04:59,0
263,2024-05-16 23:05:59,0
255,2024-05-16 23:06:59,0
307,2024-05-16 23:07:59,0
312,2024-05-16 23:08:59,0
431,2024-05-16 23:09:59,0
450,2024-05-16 23:10:59,0
428,2024-05-16 23:11:59,0
485,2024-05-16 23:12:59,0
356,2024-05-16 23:13:59,0
359,2024-05-16 23:14:59,0
312,2024-05-16 23:15:59,0
401,2024-05-16 23:16:59,0
401,2024-05-16 23:17:59,0
214,2024-05-16 23:18:59,0
403,2024-05-16 23:19:59,0
318,2024-05-16 23:20:59,0
340,2024-05-16 23:21:59,0
303,2024-05-16 23:22:59,0
318,2024-05-16 23:23:59,0
301,2024-05-16 23:24:59,0
243,2024-05-16 23:25:59,0
273,2024-05-16 23:26:59,0
265,2024-05-16 23:27:59,0
392,2024-05-16 23:28:59,0
280,2024-05-16 23:29:59,0
403,2024-05-16 23:30:59,0
290,2024-05-16 23:31:59,0
285,2024-05-16 23:32:59,0
500,2024-05-16 23:33:59,0
408,2024-05-16 23:35:00,0
494,2024-05-16 23:35:59,0
362,2024-05-16 23:36:59,0
300,2024-05-16 23:37:59,0
323,2024-05-16 23:38:59,0
334,2024-05-16 23:39:59,0
415,2024-05-16 23:40:59,0
202,2024-05-16 23:41:59,0
296,2024-05-16 23:42:59,0
293,2024-05-16 23:43:59,0
297,2024-05-16 23:44:59,0
297,2024-05-16 23:45:59,0
304,2024-05-16 23:46:59,0
361,2024-05-16 23:47:59,0
359,2024-05-16 23:48:59,0
313,2024-05-16 23:49:59,0
321,2024-05-16 23:50:59,0
302,2024-05-16 23:51:59,0
395,2024-05-16 23:52:59,0
311,2024-05-16 23:53:59,0
287,2024-05-16 23:54:59,0
290,2024-05-16 23:55:59,0
268,2024-05-16 23:56:59,0
252,2024-05-16 23:57:59,0
274,2024-05-16 23:58:59,0
252,2024-05-17 00:00:59,0
257,2024-05-17 00:01:59,0
260,2024-05-17 00:02:59,0
255,2024-05-17 00:04:00,0
276,2024-05-17 00:04:59,0
271,2024-05-17 00:05:59,0
287,2024-05-17 00:06:59,0
268,2024-05-17 00:07:59,0
285,2024-05-17 00:08:59,0
293,2024-05-17 00:09:59,0
281,2024-05-17 00:10:59,0
296,2024-05-17 00:11:59,0
290,2024-05-17 00:13:00,0
293,2024-05-17 00:14:00,0
277,2024-05-17 00:15:00,0
293,2024-05-17 00:15:59,0
293,2024-05-17 00:16:59,0
293,2024-05-17 00:17:59,0
307,2024-05-17 00:18:59,0
315,2024-05-17 00:19:59,0
318,2024-05-17 00:20:59,0
310,2024-05-17 00:21:59,0
309,2024-05-17 00:22:59,0
301,2024-05-17 00:23:59,0
310,2024-05-17 00:24:59,0
315,2024-05-17 00:26:00,0
302,2024-05-17 00:27:00,0
301,2024-05-17 00:27:59,0
312,2024-05-17 00:28:59,0
301,2024-05-17 00:29:59,0
274,2024-05-17 00:31:00,0
257,2024-05-17 00:31:59,0
263,2024-05-17 00:33:00,0
271,2024-05-17 00:34:00,0
285,2024-05-17 00:34:59,0
265,2024-05-17 00:36:00,0
279,2024-05-17 00:37:00,0
285,2024-05-17 00:37:59,0
281,2024-05-17 00:38:59,0
257,2024-05-17 00:39:59,0
293,2024-05-17 00:40:59,0
285,2024-05-17 00:41:59,0
299,2024-05-17 00:42:59,0
290,2024-05-17 00:43:59,0
307,2024-05-17 00:44:59,0
285,2024-05-17 00:45:59,0
288,2024-05-17 00:46:59,0
293,2024-05-17 00:47:59,0
298,2024-05-17 00:48:59,0
285,2024-05-17 00:49:59,0
284,2024-05-17 00:50:59,0
296,2024-05-17 00:51:59,0
290,2024-05-17 00:52:59,0
295,2024-05-17 00:54:00,0
279,2024-05-17 00:54:59,0
301,2024-05-17 00:55:59,0
293,2024-05-17 00:56:59,0
296,2024-05-17 00:57:59,0
287,2024-05-17 00:58:59,0
296,2024-05-17 00:59:59,0
279,2024-05-17 02:00:59,0
287,2024-05-17 02:01:59,0
287,2024-05-17 02:02:59,0
290,2024-05-17 02:03:59,0
290,2024-05-17 02:04:59,0
298,2024-05-17 02:05:59,0
301,2024-05-17 02:06:59,0
301,2024-05-17 02:07:59,0
276,2024-05-17 02:08:59,0
296,2024-05-17 02:09:59,0
298,2024-05-17 02:11:00,0
287,2024-05-17 02:11:59,0
297,2024-05-17 02:12:59,0
296,2024-05-17 02:13:59,0
290,2024-05-17 02:14:59,0
271,2024-05-17 02:15:59,0
266,2024-05-17 02:16:59,0
285,2024-05-17 02:17:59,0
285,2024-05-17 02:18:59,0
288,2024-05-17 02:19:59,0
274,2024-05-17 02:20:59,0
258,2024-05-17 02:21:59,0
273,2024-05-17 02:22:59,0
268,2024-05-17 02:23:59,0
271,2024-05-17 02:24:59,0
285,2024-05-17 02:25:59,0
288,2024-05-17 02:26:59,0
293,2024-05-17 02:27:59,0
298,2024-05-17 02:28:59,0
293,2024-05-17 02:29:59,0
293,2024-05-17 02:30:59,0
296,2024-05-17 02:31:59,0
274,2024-05-17 02:32:59,0
278,2024-05-17 02:33:59,0
265,2024-05-17 02:34:59,0
251,2024-05-17 02:35:59,0
265,2024-05-17 02:36:59,0
271,2024-05-17 02:37:59,0
283,2024-05-17 02:38:59,0
286,2024-05-17 02:39:59,0
285,2024-05-17 02:40:59,0
285,2024-05-17 02:41:59,0
299,2024-05-17 02:42:59,0
290,2024-05-17 02:43:59,0
288,2024-05-17 02:44:59,0
298,2024-05-17 02:45:59,0
296,2024-05-17 02:46:59,0
290,2024-05-17 02:47:59,0
296,2024-05-17 02:48:59,0
293,2024-05-17 02:49:59,0
282,2024-05-17 02:50:59,0
285,2024-05-17 02:51:59,0
263,2024-05-17 02:52:59,0
278,2024-05-17 02:53:59,0
259,2024-05-17 02:54:59,0
270,2024-05-17 02:55:59,0
260,2024-05-17 02:56:59,0
266,2024-05-17 02:57:59,0
274,2024-05-17 02:58:59,0
279,2024-05-17 03:00:59,0
282,2024-05-17 03:01:59,0
282,2024-05-17 03:02:59,0
296,2024-05-17 03:03:59,0
272,2024-05-17 03:04:59,0
293,2024-05-17 03:05:59,0
290,2024-05-17 03:06:59,0
290,2024-05-17 03:07:59,0
276,2024-05-17 03:08:59,0
285,2024-05-17 03:09:59,0
293,2024-05-17 03:10:59,0
293,2024-05-17 03:11:59,0
285,2024-05-17 03:12:59,0
290,2024-05-17 03:13:59,0
271,2024-05-17 03:14:59,0
268,2024-05-17 03:15:59,0
287,2024-05-17 03:16:59,0
282,2024-05-17 03:17:59,0
278,2024-05-17 03:18:59,0
266,2024-05-17 03:19:59,0
282,2024-05-17 03:20:59,0
277,2024-05-17 03:21:59,0
282,2024-05-17 03:22:59,0
271,2024-05-17 03:23:59,0
280,2024-05-17 03:24:59,0
276,2024-05-17 03:25:59,0
287,2024-05-17 03:26:59,0
285,2024-05-17 03:27:59,0
282,2024-05-17 03:28:59,0
272,2024-05-17 03:29:59,0
257,2024-05-17 03:30:59,0
274,2024-05-17 03:31:59,0
249,2024-05-17 03:32:59,0
269,2024-05-17 03:33:59,0
266,2024-05-17 03:34:59,0
254,2024-05-17 03:35:59,0
263,2024-05-17 03:36:59,0
264,2024-05-17 03:37:59,0
251,2024-05-17 03:38:59,0
275,2024-05-17 03:39:59,0
282,2024-05-17 03:40:59,0
268,2024-05-17 03:41:59,0
271,2024-05-17 03:42:59,0
274,2024-05-17 03:43:59,0
274,2024-05-17 03:44:59,0
284,2024-05-17 03:45:59,0
277,2024-05-17 03:46:59,0
284,2024-05-17 03:47:59,0
263,2024-05-17 03:48:59,0
279,2024-05-17 03:49:59,0
279,2024-05-17 03:50:59,0
265,2024-05-17 03:51:59,0
274,2024-05-17 03:52:59,0
272,2024-05-17 03:53:59,0
279,2024-05-17 03:54:59,0
266,2024-05-17 03:55:59,0
276,2024-05-17 03:57:00,0
278,2024-05-17 03:57:59,0
278,2024-05-17 03:58:59,0
263,2024-05-17 04:00:59,0
279,2024-05-17 04:01:59,0
241,2024-05-17 04:02:59,0
222,2024-05-17 04:03:59,0
223,2024-05-17 04:04:59,0
230,2024-05-17 04:05:59,0
243,2024-05-17 04:06:59,0
227,2024-05-17 04:07:59,0
219,2024-05-17 04:08:59,0
244,2024-05-17 04:09:59,0
249,2024-05-17 04:10:59,0
263,2024-05-17 04:11:59,0
276,2024-05-17 04:12:59,0
275,2024-05-17 04:13:59,0
277,2024-05-17 04:14:59,0
279,2024-05-17 04:15:59,0
279,2024-05-17 04:16:59,0
290,2024-05-17 04:17:59,0
276,2024-05-17 04:18:59,0
296,2024-05-17 04:19:59,0
265,2024-05-17 04:20:59,0
269,2024-05-17 04:21:59,0
276,2024-05-17 04:23:00,0
275,2024-05-17 04:23:59,0
276,2024-05-17 04:25:00,0
268,2024-05-17 04:25:59,0
277,2024-05-17 04:26:59,0
267,2024-05-17 04:28:00,0
274,2024-05-17 04:28:59,0
278,2024-05-17 04:29:59,0
283,2024-05-17 04:30:59,0
271,2024-05-17 04:31:59,0
277,2024-05-17 04:32:59,0
279,2024-05-17 04:33:59,0
287,2024-05-17 04:34:59,0
276,2024-05-17 04:35:59,0
276,2024-05-17 04:36:59,0
260,2024-05-17 04:37:59,0
278,2024-05-17 04:38:59,0
263,2024-05-17 04:39:59,0
250,2024-05-17 04:40:59,0
230,2024-05-17 04:41:59,0
257,2024-05-17 04:42:59,0
246,2024-05-17 04:43:59,0
263,2024-05-17 04:44:59,0
241,2024-05-17 04:45:59,0
241,2024-05-17 04:46:59,0
254,2024-05-17 04:47:59,0
260,2024-05-17 04:48:59,0
266,2024-05-17 04:49:59,0
260,2024-05-17 04:50:59,0
252,2024-05-17 04:51:59,0
257,2024-05-17 04:52:59,0
252,2024-05-17 04:53:59,0
268,2024-05-17 04:54:59,0
266,2024-05-17 04:55:59,0
263,2024-05-17 04:56:59,0
274,2024-05-17 04:57:59,0
268,2024-05-17 04:58:59,0
279,2024-05-17 05:00:59,0
275,2024-05-17 05:01:59,0
268,2024-05-17 05:02:59,0
265,2024-05-17 05:03:59,0
279,2024-05-17 05:04:59,0
270,2024-05-17 05:05:59,0
260,2024-05-17 05:06:59,0
279,2024-05-17 05:07:59,0
268,2024-05-17 05:08:59,0
280,2024-05-17 05:09:59,0
266,2024-05-17 05:10:59,0
263,2024-05-17 05:11:59,0
268,2024-05-17 05:12:59,0
249,2024-05-17 05:13:59,0
260,2024-05-17 05:14:59,0
241,2024-05-17 05:15:59,0
266,2024-05-17 05:17:00,0
271,2024-05-17 05:18:00,0
263,2024-05-17 05:18:59,0
268,2024-05-17 05:19:59,0
274,2024-05-17 05:20:59,0
260,2024-05-17 05:21:59,0
271,2024-05-17 05:22:59,0
271,2024-05-17 05:23:59,0
268,2024-05-17 05:24:59,0
263,2024-05-17 05:25:59,0
265,2024-05-17 05:26:59,0
263,2024-05-17 05:27:59,0
254,2024-05-17 05:28:59,0
252,2024-05-17 05:29:59,0
255,2024-05-17 05:30:59,0
257,2024-05-17 05:31:59,0
260,2024-05-17 05:32:59,0
287,2024-05-17 05:33:59,0
289,2024-05-17 05:34:59,0
279,2024-05-17 05:35:59,0
268,2024-05-17 05:36:59,0
291,2024-05-17 05:37:59,0
276,2024-05-17 05:38:59,0
276,2024-05-17 05:39:59,0
293,2024-05-17 05:40:59,0
279,2024-05-17 05:41:59,0
276,2024-05-17 05:42:59,0
265,2024-05-17 05:43:59,0
262,2024-05-17 05:44:59,0
268,2024-05-17 05:45:59,0
279,2024-05-17 05:46:59,0
256,2024-05-17 05:47:59,0
276,2024-05-17 05:48:59,0
263,2024-05-17 05:49:59,0
260,2024-05-17 05:50:59,0
275,2024-05-17 05:51:59,0
271,2024-05-17 05:52:59,0
286,2024-05-17 05:53:59,0
277,2024-05-17 05:54:59,0
279,2024-05-17 05:55:59,0
282,2024-05-17 05:56:59,0
296,2024-05-17 05:57:59,0
282,2024-05-17 05:58:59,0
290,2024-05-17 06:00:59,0
285,2024-05-17 06:01:59,0
285,2024-05-17 06:02:59,0
244,2024-05-17 06:03:59,0
249,2024-05-17 06:04:59,0
298,2024-05-17 06:05:59,0
290,2024-05-17 06:06:59,0
232,2024-05-17 06:07:59,0
282,2024-05-17 06:08:59,0
260,2024-05-17 06:09:59,0
268,2024-05-17 06:10:59,0
274,2024-05-17 06:11:59,0
269,2024-05-17 06:12:59,0
310,2024-05-17 06:13:59,0
316,2024-05-17 06:14:59,0
323,2024-05-17 06:15:59,0
224,2024-05-17 06:16:59,0
216,2024-05-17 06:17:59,0
497,2024-05-17 06:18:59,0
265,2024-05-17 06:19:59,0
205,2024-05-17 06:20:59,0
213,2024-05-17 06:21:59,0
238,2024-05-17 06:22:59,0
290,2024-05-17 06:23:59,0
424,2024-05-17 06:24:59,0
436,2024-05-17 06:25:59,0
222,2024-05-17 06:26:59,0
241,2024-05-17 06:27:59,0
235,2024-05-17 06:28:59,0
242,2024-05-17 06:29:59,0
254,2024-05-17 06:30:59,0
280,2024-05-17 06:31:59,0
280,2024-05-17 06:32:59,0
249,2024-05-17 06:34:00,0
246,2024-05-17 06:34:59,0
252,2024-05-17 06:35:59,0
257,2024-05-17 06:36:59,0
252,2024-05-17 06:37:59,0
276,2024-05-17 06:38:59,0
277,2024-05-17 06:39:59,0
268,2024-05-17 06:40:59,0
274,2024-05-17 06:41:59,0
272,2024-05-17 06:42:59,0
254,2024-05-17 06:43:59,0
281,2024-05-17 06:44:59,0
301,2024-05-17 06:45:59,0
282,2024-05-17 06:46:59,0
287,2024-05-17 06:47:59,0
293,2024-05-17 06:48:59,0
266,2024-05-17 06:49:59,0
268,2024-05-17 06:50:59,0
271,2024-05-17 06:51:59,0
252,2024-05-17 06:52:59,0
264,2024-05-17 06:53:59,0
249,2024-05-17 06:54:59,0
249,2024-05-17 06:55:59,0
266,2024-05-17 06:56:59,0
254,2024-05-17 06:57:59,0
264,2024-05-17 06:58:59,0
268,2024-05-17 07:00:59,0
284,2024-05-17 07:02:00,0
279,2024-05-17 07:02:59,0
281,2024-05-17 07:03:59,0
282,2024-05-17 07:04:59,0
287,2024-05-17 07:05:59,0
230,2024-05-17 07:06:59,0
241,2024-05-17 07:07:59,0
241,2024-05-17 07:08:59,0
243,2024-05-17 07:09:59,0
216,2024-05-17 07:10:59,0
296,2024-05-17 07:11:59,0
279,2024-05-17 07:12:59,0
227,2024-05-17 07:13:59,0
381,2024-05-17 07:14:59,0
215,2024-05-17 07:15:59,0
301,2024-05-17 07:16:59,0
303,2024-05-17 07:17:59,0
296,2024-05-17 07:18:59,0
409,2024-05-17 07:19:59,0
403,2024-05-17 07:20:59,0
364,2024-05-17 07:21:59,0
280,2024-05-17 07:22:59,0
257,2024-05-17 07:23:59,0
252,2024-05-17 07:24:59,0
274,2024-05-17 07:25:59,0
252,2024-05-17 07:26:59,0
256,2024-05-17 07:27:59,0
268,2024-05-17 07:28:59,0
237,2024-05-17 07:29:59,0
224,2024-05-17 07:30:59,0
246,2024-05-17 07:31:59,0
239,2024-05-17 07:32:59,0
246,2024-05-17 07:33:59,0
310,2024-05-17 07:34:59,0
238,2024-05-17 07:35:59,0
243,2024-05-17 07:36:59,0
257,2024-05-17 07:37:59,0
255,2024-05-17 07:38:59,0
243,2024-05-17 07:39:59,0
257,2024-05-17 07:40:59,0
279,2024-05-17 07:41:59,0
254,2024-05-17 07:42:59,0
208,2024-05-17 07:43:59,0
325,2024-05-17 07:44:59,0
285,2024-05-17 07:45:59,0
208,2024-05-17 07:46:59,0
219,2024-05-17 07:47:59,0
282,2024-05-17 07:48:59,0
