P3_22,P3_21,P3_20,P3_19,csvTime
1,0,305,898,2024-05-16 17:26:02
1,0,895,898,2024-05-16 17:27:02
1,0,895,898,2024-05-16 17:28:02
12,13,4,0,2024-05-16 17:29:02
33,34,-906,-909,2024-05-16 17:30:02
33,34,-295,-261,2024-05-16 17:31:02
13,14,64,120,2024-05-16 17:32:02
9,10,-75,-81,2024-05-16 17:33:02
9,10,-306,-303,2024-05-16 17:34:02
21,22,-344,-344,2024-05-16 17:35:02
21,22,-344,-344,2024-05-16 17:36:02
28,28,-344,-344,2024-05-16 17:37:02
28,28,-344,-344,2024-05-16 17:38:02
11,11,-123,-125,2024-05-16 17:39:02
23,23,895,898,2024-05-16 17:40:02
1,0,895,898,2024-05-16 17:41:02
1,0,895,898,2024-05-16 17:42:02
27,28,2,0,2024-05-16 17:43:02
40,32,173,281,2024-05-16 17:44:02
39,40,440,-20,2024-05-16 17:45:02
33,34,-48,24,2024-05-16 17:46:02
1,0,63,0,2024-05-16 17:47:02
39,0,2,2,2024-05-16 17:48:02
34,28,-868,-4,2024-05-16 17:49:02
23,23,-344,-344,2024-05-16 17:50:03
18,19,-286,-313,2024-05-16 17:51:02
16,16,-340,-342,2024-05-16 17:52:02
16,16,-340,-344,2024-05-16 17:53:02
16,16,-340,-344,2024-05-16 17:54:02
15,16,-340,-344,2024-05-16 17:55:02
31,32,-340,-344,2024-05-16 17:56:02
16,17,-287,-227,2024-05-16 17:57:02
14,14,-71,-48,2024-05-16 17:58:02
16,17,-344,-344,2024-05-16 17:59:02
18,19,-344,-344,2024-05-16 18:00:02
18,19,-312,-272,2024-05-16 18:01:02
18,19,-340,-344,2024-05-16 18:02:02
18,19,-339,-344,2024-05-16 18:03:02
18,19,-340,-344,2024-05-16 18:04:02
1,0,-20,-4,2024-05-16 18:05:02
1,0,450,898,2024-05-16 18:06:02
1,0,896,900,2024-05-16 18:07:02
1,0,895,898,2024-05-16 18:08:02
1,0,895,898,2024-05-16 18:09:02
1,0,895,898,2024-05-16 18:10:02
1,0,895,900,2024-05-16 18:11:02
37,42,83,0,2024-05-16 18:12:02
41,42,379,440,2024-05-16 18:13:02
24,25,-225,-260,2024-05-16 18:14:02
24,25,-61,-65,2024-05-16 18:15:02
1,0,891,898,2024-05-16 18:16:02
40,40,896,900,2024-05-16 18:17:02
1,0,895,898,2024-05-16 18:18:02
1,0,895,900,2024-05-16 18:19:02
34,34,-674,-890,2024-05-16 18:20:02
32,32,-37,-4,2024-05-16 18:21:02
39,39,-905,-909,2024-05-16 18:22:02
27,21,-17,-41,2024-05-16 18:23:02
17,18,-6,-4,2024-05-16 18:24:02
34,34,-6,-4,2024-05-16 18:25:02
22,23,-332,-344,2024-05-16 18:26:02
22,23,-315,-295,2024-05-16 18:27:02
22,23,40,45,2024-05-16 18:28:02
22,23,51,74,2024-05-16 18:29:02
19,20,-251,-202,2024-05-16 18:30:02
29,29,895,898,2024-05-16 18:31:02
29,29,-906,-910,2024-05-16 18:32:02
32,32,-271,-320,2024-05-16 18:33:02
14,15,-340,-344,2024-05-16 18:34:02
33,34,-904,-909,2024-05-16 18:35:02
1,0,-908,-910,2024-05-16 18:36:02
24,25,162,176,2024-05-16 18:37:02
31,45,744,898,2024-05-16 18:38:02
28,29,-900,-909,2024-05-16 18:39:02
35,39,370,0,2024-05-16 18:40:02
42,42,315,342,2024-05-16 18:41:02
27,28,-340,-344,2024-05-16 18:42:02
22,28,-138,-63,2024-05-16 18:43:02
26,27,65,45,2024-05-16 18:44:02
1,0,-2,-4,2024-05-16 18:45:02
1,0,-2,-4,2024-05-16 18:46:02
22,28,765,898,2024-05-16 18:47:02
51,52,895,898,2024-05-16 18:48:02
1,0,896,898,2024-05-16 18:49:02
38,36,-475,-6,2024-05-16 18:50:02
44,45,305,306,2024-05-16 18:51:02
11,0,-906,-910,2024-05-16 18:52:02
1,0,895,898,2024-05-16 18:53:02
1,0,895,898,2024-05-16 18:54:03
1,0,895,898,2024-05-16 18:55:02
28,28,2,0,2024-05-16 18:56:02
28,28,2,-2,2024-05-16 18:57:02
28,28,2,2,2024-05-16 18:58:02
28,28,2,2,2024-05-16 18:59:02
28,28,2,0,2024-05-16 19:00:02
28,29,2,0,2024-05-16 19:01:02
28,28,2,-2,2024-05-16 19:02:02
28,28,2,0,2024-05-16 19:03:02
28,28,2,2,2024-05-16 19:04:02
28,28,2,0,2024-05-16 19:05:02
28,28,2,0,2024-05-16 19:06:02
28,28,2,0,2024-05-16 19:07:02
36,36,2,2,2024-05-16 19:08:02
32,29,-841,-540,2024-05-16 19:09:02
18,19,890,900,2024-05-16 19:10:02
23,26,895,898,2024-05-16 19:11:02
21,23,125,0,2024-05-16 19:12:02
22,23,2,2,2024-05-16 19:13:02
26,27,2,2,2024-05-16 19:14:02
35,35,2,0,2024-05-16 19:15:02
34,35,2,0,2024-05-16 19:16:02
22,23,2,0,2024-05-16 19:17:02
22,23,2,0,2024-05-16 19:18:02
22,23,-106,-110,2024-05-16 19:19:02
16,17,93,128,2024-05-16 19:20:02
16,17,145,118,2024-05-16 19:21:02
16,17,4,133,2024-05-16 19:22:02
16,17,-148,-167,2024-05-16 19:23:02
16,17,-340,-344,2024-05-16 19:24:02
16,17,-340,-344,2024-05-16 19:25:02
16,17,-340,-344,2024-05-16 19:26:02
16,17,0,0,2024-05-16 19:27:02
16,17,-1,0,2024-05-16 19:28:02
26,27,0,0,2024-05-16 19:29:02
26,27,0,2,2024-05-16 19:30:02
31,32,-904,-905,2024-05-16 19:31:02
22,23,-906,-909,2024-05-16 19:32:02
12,13,-6,-4,2024-05-16 19:33:02
50,50,-6,-4,2024-05-16 19:34:02
50,50,895,898,2024-05-16 19:35:02
50,51,-22,-61,2024-05-16 19:36:02
1,0,-8,-4,2024-05-16 19:37:02
1,0,-6,-4,2024-05-16 19:38:02
27,35,-637,-640,2024-05-16 19:39:02
30,29,-357,-355,2024-05-16 19:40:02
28,29,-357,-355,2024-05-16 19:41:02
1,0,-6,-2,2024-05-16 19:42:02
26,27,895,900,2024-05-16 19:43:02
8,13,252,0,2024-05-16 19:44:02
17,18,2,0,2024-05-16 19:45:02
25,25,-340,-344,2024-05-16 19:46:02
1,0,287,898,2024-05-16 19:47:02
39,40,-288,-354,2024-05-16 19:48:02
42,42,-25,-4,2024-05-16 19:49:02
39,40,895,898,2024-05-16 19:50:02
26,27,-30,208,2024-05-16 19:51:02
7,8,3,-2,2024-05-16 19:52:02
24,25,16,32,2024-05-16 19:53:02
29,30,-280,-327,2024-05-16 19:54:02
26,27,-136,-151,2024-05-16 19:55:02
21,21,-30,-41,2024-05-16 19:56:02
19,19,-96,-108,2024-05-16 19:57:02
17,18,-136,-110,2024-05-16 19:58:02
17,18,-228,-247,2024-05-16 19:59:02
17,18,-340,-344,2024-05-16 20:00:02
24,25,-340,-344,2024-05-16 20:01:02
24,25,-59,-56,2024-05-16 20:02:02
24,25,5,-55,2024-05-16 20:03:02
24,25,-177,-182,2024-05-16 20:04:02
24,25,-131,-113,2024-05-16 20:05:02
24,25,-75,-91,2024-05-16 20:06:02
24,25,-307,-337,2024-05-16 20:07:02
24,25,-342,-344,2024-05-16 20:08:02
24,25,-342,-344,2024-05-16 20:09:02
24,25,-344,-344,2024-05-16 20:10:02
24,25,-221,-217,2024-05-16 20:11:02
24,25,-150,-193,2024-05-16 20:12:02
24,25,-212,-167,2024-05-16 20:13:02
24,25,-116,-170,2024-05-16 20:14:02
24,25,-40,-65,2024-05-16 20:15:02
24,25,-340,-344,2024-05-16 20:16:02
24,25,-340,-344,2024-05-16 20:17:02
1,0,894,898,2024-05-16 20:18:02
1,0,895,898,2024-05-16 20:19:02
1,0,895,898,2024-05-16 20:20:02
21,39,895,898,2024-05-16 20:21:02
1,0,895,898,2024-05-16 20:22:02
1,0,895,898,2024-05-16 20:23:02
27,27,-121,-133,2024-05-16 20:24:02
29,30,-340,-344,2024-05-16 20:25:02
25,25,-329,-344,2024-05-16 20:26:02
24,25,-342,-344,2024-05-16 20:27:02
25,27,-342,-344,2024-05-16 20:28:02
27,28,-10,49,2024-05-16 20:29:02
28,28,237,192,2024-05-16 20:30:02
28,28,-91,-103,2024-05-16 20:31:02
28,28,2,16,2024-05-16 20:32:02
28,28,297,316,2024-05-16 20:33:02
28,28,-45,-110,2024-05-16 20:34:02
27,28,-156,-83,2024-05-16 20:35:02
28,28,-54,-35,2024-05-16 20:36:02
28,28,-177,-212,2024-05-16 20:37:02
20,20,11,37,2024-05-16 20:38:02
20,21,53,40,2024-05-16 20:39:02
20,21,13,-6,2024-05-16 20:40:02
20,21,-113,-110,2024-05-16 20:41:02
20,20,183,146,2024-05-16 20:42:02
20,21,-340,-344,2024-05-16 20:43:02
20,20,-340,-344,2024-05-16 20:44:02
24,25,-340,-344,2024-05-16 20:45:02
24,25,-340,-344,2024-05-16 20:46:02
24,25,-340,-344,2024-05-16 20:47:02
24,25,-340,-344,2024-05-16 20:48:02
1,0,895,900,2024-05-16 20:49:02
1,0,895,895,2024-05-16 20:50:02
1,0,895,898,2024-05-16 20:51:02
22,22,30,0,2024-05-16 20:52:02
22,23,-329,-301,2024-05-16 20:53:02
23,24,-271,-308,2024-05-16 20:54:02
23,24,-146,-131,2024-05-16 20:55:02
23,24,130,113,2024-05-16 20:56:02
23,24,30,64,2024-05-16 20:57:02
16,17,-101,-103,2024-05-16 20:58:02
16,17,-210,-182,2024-05-16 20:59:02
26,27,-344,-344,2024-05-16 22:00:02
26,27,130,155,2024-05-16 22:01:02
10,11,339,342,2024-05-16 22:02:02
10,11,340,342,2024-05-16 22:03:02
25,25,339,342,2024-05-16 22:04:02
25,26,340,342,2024-05-16 22:05:02
13,14,76,121,2024-05-16 22:06:02
22,23,-233,-300,2024-05-16 22:07:02
26,27,-166,-167,2024-05-16 22:08:02
26,27,-128,-126,2024-05-16 22:09:02
11,11,-118,-95,2024-05-16 22:10:02
10,11,-340,-344,2024-05-16 22:11:02
11,11,-340,-344,2024-05-16 22:12:02
11,11,-340,-344,2024-05-16 22:13:02
20,22,-141,0,2024-05-16 22:14:02
1,0,895,898,2024-05-16 22:15:02
1,0,895,898,2024-05-16 22:16:02
1,0,875,898,2024-05-16 22:17:02
1,0,904,900,2024-05-16 22:18:02
32,33,13,0,2024-05-16 22:19:02
21,22,3,2,2024-05-16 22:20:02
31,31,602,602,2024-05-16 22:21:02
45,45,4,0,2024-05-16 22:22:02
18,19,2,2,2024-05-16 22:23:02
26,0,895,898,2024-05-16 22:24:02
1,0,895,900,2024-05-16 22:25:02
1,0,896,898,2024-05-16 22:26:02
56,58,895,898,2024-05-16 22:27:02
33,28,25,614,2024-05-16 22:28:02
16,18,372,575,2024-05-16 22:29:02
31,31,705,575,2024-05-16 22:30:02
22,23,2,0,2024-05-16 22:31:02
26,27,-242,-267,2024-05-16 22:32:02
26,27,-79,-46,2024-05-16 22:33:02
22,23,136,145,2024-05-16 22:34:02
19,20,-268,-295,2024-05-16 22:35:02
1,0,-2,0,2024-05-16 22:36:02
1,0,-2,0,2024-05-16 22:37:02
1,0,-2,2,2024-05-16 22:38:02
20,22,-2,-2,2024-05-16 22:39:02
19,20,-248,-233,2024-05-16 22:40:02
19,20,-340,-344,2024-05-16 22:41:02
24,25,-340,-344,2024-05-16 22:42:02
20,21,-308,-318,2024-05-16 22:43:02
21,21,-30,-37,2024-05-16 22:44:02
20,21,-138,-167,2024-05-16 22:45:02
21,21,-207,-243,2024-05-16 22:46:02
21,21,156,126,2024-05-16 22:47:02
22,22,8,5,2024-05-16 22:48:02
21,22,-237,-237,2024-05-16 22:49:02
10,11,-300,-248,2024-05-16 22:50:02
10,11,-344,-344,2024-05-16 22:51:02
17,17,-344,-344,2024-05-16 22:52:02
28,29,-116,-53,2024-05-16 22:53:02
31,32,290,312,2024-05-16 22:54:02
21,22,156,128,2024-05-16 22:55:02
21,22,-192,-177,2024-05-16 22:56:02
21,22,-342,-344,2024-05-16 22:57:02
16,17,-276,-276,2024-05-16 22:58:02
22,23,-283,-268,2024-05-16 22:59:02
31,31,60,83,2024-05-16 23:00:02
27,26,-11,22,2024-05-16 23:01:02
24,25,198,0,2024-05-16 23:02:02
29,30,2,0,2024-05-16 23:03:02
29,30,2,0,2024-05-16 23:04:02
9,0,0,-2,2024-05-16 23:05:02
1,0,-2,-4,2024-05-16 23:06:02
1,0,-2,-4,2024-05-16 23:07:02
36,40,894,898,2024-05-16 23:08:02
21,0,895,898,2024-05-16 23:09:02
45,46,895,900,2024-05-16 23:10:02
51,51,2,0,2024-05-16 23:11:02
51,51,2,-2,2024-05-16 23:12:02
51,51,2,0,2024-05-16 23:13:02
34,34,2,0,2024-05-16 23:14:02
34,34,2,2,2024-05-16 23:15:02
1,0,903,906,2024-05-16 23:16:02
31,0,2,693,2024-05-16 23:17:02
1,0,0,-2,2024-05-16 23:18:02
1,0,-2,-2,2024-05-16 23:19:02
1,0,-2,-2,2024-05-16 23:20:02
1,0,-2,-2,2024-05-16 23:21:02
1,0,-2,-2,2024-05-16 23:22:02
1,0,-2,-2,2024-05-16 23:23:02
1,0,-2,-2,2024-05-16 23:24:02
1,0,-2,-2,2024-05-16 23:25:02
1,0,-2,-2,2024-05-16 23:26:02
15,16,-2,-2,2024-05-16 23:27:02
18,19,-2,-2,2024-05-16 23:28:02
18,19,-2,0,2024-05-16 23:29:02
29,29,-2,-5,2024-05-16 23:30:02
1,0,-2,-2,2024-05-16 23:31:02
1,0,-1,825,2024-05-16 23:32:02
18,0,905,909,2024-05-16 23:33:02
43,44,905,906,2024-05-16 23:34:02
47,48,905,909,2024-05-16 23:35:02
52,52,905,906,2024-05-16 23:36:02
17,17,30,-1,2024-05-16 23:37:02
22,25,340,342,2024-05-16 23:38:02
33,34,860,898,2024-05-16 23:39:02
35,36,895,898,2024-05-16 23:40:02
42,42,895,898,2024-05-16 23:41:02
1,0,3,0,2024-05-16 23:42:02
25,26,-340,-344,2024-05-16 23:43:02
29,30,-4,0,2024-05-16 23:44:02
22,23,-1,0,2024-05-16 23:45:02
25,25,-1,-2,2024-05-16 23:46:02
28,28,-2,0,2024-05-16 23:47:02
31,31,-2,0,2024-05-16 23:48:02
31,31,-2,-2,2024-05-16 23:49:02
34,35,-1,-4,2024-05-16 23:50:02
31,31,-490,-517,2024-05-16 23:51:02
31,25,-517,-4,2024-05-16 23:52:02
34,35,-30,-35,2024-05-16 23:53:02
29,29,73,81,2024-05-16 23:54:02
24,25,-74,-120,2024-05-16 23:55:02
18,19,17,60,2024-05-16 23:56:02
19,20,-275,-312,2024-05-16 23:57:02
19,20,-271,-258,2024-05-16 23:58:02
19,20,-128,-146,2024-05-16 23:59:02
19,20,138,138,2024-05-17 00:00:02
19,20,-75,-58,2024-05-17 00:01:02
19,20,-201,-252,2024-05-17 00:02:02
19,20,-128,-138,2024-05-17 00:03:02
19,20,-79,-101,2024-05-17 00:04:02
19,20,208,211,2024-05-17 00:05:02
20,21,111,106,2024-05-17 00:06:02
21,22,-108,-106,2024-05-17 00:07:02
20,21,-327,-332,2024-05-17 00:08:02
20,20,-342,-344,2024-05-17 00:09:02
20,20,-93,-80,2024-05-17 00:10:02
20,20,-6,0,2024-05-17 00:11:02
20,21,-246,-230,2024-05-17 00:12:02
20,20,-105,-96,2024-05-17 00:13:02
20,20,45,32,2024-05-17 00:14:02
20,20,-212,-220,2024-05-17 00:15:02
20,20,-218,-202,2024-05-17 00:16:02
20,20,20,-27,2024-05-17 00:17:02
18,19,-15,-60,2024-05-17 00:18:02
18,19,-344,-344,2024-05-17 00:19:02
18,19,-340,-347,2024-05-17 00:20:02
18,19,-335,-339,2024-05-17 00:21:02
18,19,-302,-312,2024-05-17 00:22:02
18,19,-203,-236,2024-05-17 00:23:02
18,19,-345,-344,2024-05-17 00:24:02
18,19,-344,-344,2024-05-17 00:25:02
18,19,-344,-344,2024-05-17 00:26:02
18,19,-344,-344,2024-05-17 00:27:02
18,19,-344,-344,2024-05-17 00:28:02
18,19,-344,-344,2024-05-17 00:29:02
18,19,-344,-344,2024-05-17 00:30:02
18,19,-345,-344,2024-05-17 00:31:02
18,19,-344,-344,2024-05-17 00:32:02
19,19,-344,-344,2024-05-17 00:33:02
19,20,-344,-344,2024-05-17 00:34:02
19,20,-344,-344,2024-05-17 00:35:02
20,22,-344,-344,2024-05-17 00:36:02
22,23,-344,-344,2024-05-17 00:37:02
22,23,-344,-344,2024-05-17 00:38:02
22,23,-344,-344,2024-05-17 00:39:02
22,23,-237,-220,2024-05-17 00:40:02
20,21,54,-12,2024-05-17 00:41:02
20,21,-322,-324,2024-05-17 00:42:02
21,21,-126,-69,2024-05-17 00:43:02
21,22,285,255,2024-05-17 00:44:02
21,22,-131,-156,2024-05-17 00:45:02
20,21,-324,-344,2024-05-17 00:46:02
20,21,-198,-261,2024-05-17 00:47:02
20,21,-121,-106,2024-05-17 00:48:02
19,19,-105,-103,2024-05-17 00:49:02
20,21,162,140,2024-05-17 00:50:02
21,21,-187,-192,2024-05-17 00:51:02
20,21,-10,-25,2024-05-17 00:52:02
19,20,66,45,2024-05-17 00:53:02
19,20,-292,-262,2024-05-17 00:54:02
19,20,-123,-76,2024-05-17 00:55:02
19,20,25,-3,2024-05-17 00:56:02
19,20,-240,-225,2024-05-17 00:57:02
19,20,-96,-20,2024-05-17 00:58:02
19,19,-75,-60,2024-05-17 00:59:02
16,17,337,342,2024-05-17 02:00:02
16,17,340,342,2024-05-17 02:01:02
16,17,340,342,2024-05-17 02:02:02
16,17,146,128,2024-05-17 02:03:02
16,17,-4,20,2024-05-17 02:04:02
16,17,-113,-118,2024-05-17 02:05:02
16,17,-177,-155,2024-05-17 02:06:02
16,17,128,143,2024-05-17 02:07:02
16,17,337,342,2024-05-17 02:08:02
16,17,337,342,2024-05-17 02:09:02
16,17,337,342,2024-05-17 02:10:02
18,18,337,342,2024-05-17 02:11:02
18,19,337,342,2024-05-17 02:12:02
18,19,337,342,2024-05-17 02:13:02
20,21,337,342,2024-05-17 02:14:02
22,23,337,342,2024-05-17 02:15:02
22,23,337,342,2024-05-17 02:16:02
18,19,337,342,2024-05-17 02:17:02
18,19,-50,-55,2024-05-17 02:18:02
18,19,-111,-49,2024-05-17 02:19:02
18,19,50,20,2024-05-17 02:20:02
18,19,81,111,2024-05-17 02:21:02
18,19,34,50,2024-05-17 02:22:02
18,19,-195,-201,2024-05-17 02:23:02
18,19,-201,-201,2024-05-17 02:24:02
18,19,-220,-212,2024-05-17 02:25:02
18,19,-70,-6,2024-05-17 02:26:02
19,19,200,252,2024-05-17 02:27:02
18,19,246,222,2024-05-17 02:28:02
19,19,-6,-40,2024-05-17 02:29:02
19,19,-126,-101,2024-05-17 02:30:02
18,19,-37,-43,2024-05-17 02:31:02
19,19,-54,-25,2024-05-17 02:32:02
19,19,-101,-108,2024-05-17 02:33:02
18,19,-75,-96,2024-05-17 02:34:02
18,18,125,83,2024-05-17 02:35:02
17,17,-10,-17,2024-05-17 02:36:02
17,17,27,37,2024-05-17 02:37:02
16,17,100,30,2024-05-17 02:38:02
16,17,-339,-344,2024-05-17 02:39:02
17,17,-342,-330,2024-05-17 02:40:02
16,17,-123,-54,2024-05-17 02:41:02
16,17,125,131,2024-05-17 02:42:02
16,17,-65,-12,2024-05-17 02:43:02
16,17,-344,-345,2024-05-17 02:44:02
16,17,-260,-235,2024-05-17 02:45:02
16,17,118,95,2024-05-17 02:46:02
16,17,158,167,2024-05-17 02:47:02
16,17,25,18,2024-05-17 02:48:02
16,17,-291,-237,2024-05-17 02:49:02
16,17,-175,-182,2024-05-17 02:50:02
16,17,16,-18,2024-05-17 02:51:02
16,17,310,325,2024-05-17 02:52:02
16,17,1,-69,2024-05-17 02:53:02
16,17,-340,-344,2024-05-17 02:54:02
16,17,-335,-315,2024-05-17 02:55:02
16,17,-283,-253,2024-05-17 02:56:02
16,17,0,45,2024-05-17 02:57:02
18,19,302,292,2024-05-17 02:58:02
18,18,17,-6,2024-05-17 02:59:02
18,19,-255,-251,2024-05-17 03:00:02
18,19,-308,-344,2024-05-17 03:01:02
18,19,-108,-69,2024-05-17 03:02:02
18,19,-39,-143,2024-05-17 03:03:02
18,19,-123,-69,2024-05-17 03:04:02
18,19,30,-16,2024-05-17 03:05:02
18,19,176,195,2024-05-17 03:06:02
18,19,113,162,2024-05-17 03:07:02
18,19,-66,-30,2024-05-17 03:08:02
18,19,-271,-266,2024-05-17 03:09:02
18,19,-150,-163,2024-05-17 03:10:02
18,19,8,4,2024-05-17 03:11:02
18,19,116,160,2024-05-17 03:12:02
18,19,-93,-71,2024-05-17 03:13:02
18,19,-153,-143,2024-05-17 03:14:02
18,18,-340,-344,2024-05-17 03:15:02
18,18,-175,-118,2024-05-17 03:16:02
18,19,-135,-128,2024-05-17 03:17:02
18,19,-58,-61,2024-05-17 03:18:02
18,19,-163,-150,2024-05-17 03:19:02
18,19,-136,-167,2024-05-17 03:20:02
18,19,178,160,2024-05-17 03:21:02
18,19,173,181,2024-05-17 03:22:02
18,19,-213,-177,2024-05-17 03:23:02
18,19,-340,-344,2024-05-17 03:24:02
18,19,-88,-24,2024-05-17 03:25:02
18,18,-22,-40,2024-05-17 03:26:02
18,19,-116,-91,2024-05-17 03:27:02
18,19,15,66,2024-05-17 03:28:02
18,19,64,59,2024-05-17 03:29:02
18,19,-3,18,2024-05-17 03:30:02
18,19,-25,-32,2024-05-17 03:31:02
18,19,-141,-150,2024-05-17 03:32:02
18,19,-277,-292,2024-05-17 03:33:02
18,19,-50,-45,2024-05-17 03:34:02
18,19,141,111,2024-05-17 03:35:02
17,18,-221,-217,2024-05-17 03:36:02
16,17,-248,-241,2024-05-17 03:37:02
16,17,76,79,2024-05-17 03:38:02
16,17,193,167,2024-05-17 03:39:02
16,17,34,17,2024-05-17 03:40:02
16,17,-75,-37,2024-05-17 03:41:02
16,17,40,20,2024-05-17 03:42:02
16,17,-121,-115,2024-05-17 03:43:02
16,17,-213,-261,2024-05-17 03:44:02
16,17,86,146,2024-05-17 03:45:02
16,17,0,-30,2024-05-17 03:46:02
16,17,-340,-344,2024-05-17 03:47:02
16,17,-158,-167,2024-05-17 03:48:02
16,17,-51,-51,2024-05-17 03:49:02
16,17,-90,-40,2024-05-17 03:50:02
16,17,163,176,2024-05-17 03:51:02
16,17,105,78,2024-05-17 03:52:02
16,17,-311,-297,2024-05-17 03:53:02
16,17,-332,-329,2024-05-17 03:54:02
16,17,-69,-50,2024-05-17 03:55:02
18,18,108,61,2024-05-17 03:56:02
18,18,-340,-344,2024-05-17 03:57:02
18,18,-340,-344,2024-05-17 03:58:02
18,18,-340,-344,2024-05-17 03:59:02
18,18,-148,-150,2024-05-17 04:00:02
18,18,-96,-65,2024-05-17 04:01:02
18,18,-197,-198,2024-05-17 04:02:02
18,18,-267,-291,2024-05-17 04:03:02
17,18,-63,-40,2024-05-17 04:04:02
17,18,111,101,2024-05-17 04:05:02
18,18,-22,-32,2024-05-17 04:06:02
18,18,-40,-70,2024-05-17 04:07:02
17,18,-113,-111,2024-05-17 04:08:02
18,18,-138,-135,2024-05-17 04:09:02
18,18,-143,-172,2024-05-17 04:10:02
18,18,-158,-126,2024-05-17 04:11:02
18,18,-210,-217,2024-05-17 04:12:02
18,18,-186,-161,2024-05-17 04:13:02
18,18,22,6,2024-05-17 04:14:02
18,18,-91,-120,2024-05-17 04:15:02
18,19,-113,-106,2024-05-17 04:16:02
18,18,-178,-196,2024-05-17 04:17:02
18,18,-335,-345,2024-05-17 04:18:02
15,16,-143,-145,2024-05-17 04:19:02
15,16,-181,-176,2024-05-17 04:20:02
15,16,-231,-257,2024-05-17 04:21:02
15,16,-81,-55,2024-05-17 04:22:02
15,16,-136,-162,2024-05-17 04:23:02
15,16,-233,-277,2024-05-17 04:24:02
15,16,-327,-317,2024-05-17 04:25:02
15,16,-344,-344,2024-05-17 04:26:02
15,16,-344,-344,2024-05-17 04:27:02
15,16,-344,-344,2024-05-17 04:28:02
