13-2-11_v,13-2-10_v,13-2-13_v,13-2-12_v,13-2-6_v,13-2-5_v,13-2-4_v,13-2-3_v,13-2-2_v,13-2-1_v,13-2-0_v,13-2-9_v,13-2-8_v,csvTime,13-2-7_v
4,6003,0.0,2698,9,6,9,10,6971,6966,6960,95,10,2024-05-16 16:31:46,2
11,5991,0.0,2725,9,6,9,10,6972,6966,6960,95,10,2024-05-16 16:32:47,2
14,6003,0.0,2672,9,6,9,10,6971,6965,6959,96,10,2024-05-16 16:33:47,2
10,6007,0.0,920,12,12,13,14,6969,6964,6959,96,13,2024-05-16 16:34:48,3
5,5999,0.0,2785,9,6,9,10,6974,6968,6963,95,10,2024-05-16 16:35:48,2
4,6005,0.0,1270,10,7,9,10,6972,6967,6962,95,10,2024-05-16 16:36:48,3
11,6005,0.0,2633,9,6,9,10,6970,6965,6960,95,10,2024-05-16 16:37:48,2
10,6007,0.0,1190,10,9,10,11,6972,6966,6961,95,11,2024-05-16 16:38:49,3
3,6007,0.0,1021,11,10,11,12,6970,6965,6961,96,12,2024-05-16 16:39:49,3
15,6005,0.0,2720,9,6,9,10,6973,6967,6961,95,10,2024-05-16 16:40:49,2
3,6009,0.0,2234,10,7,9,10,6971,6966,6961,96,10,2024-05-16 16:41:50,2
8,6010,0.0,2647,9,6,9,10,6972,6966,6960,96,10,2024-05-16 16:42:50,2
15,6008,0.0,2456,9,6,9,10,6971,6965,6958,96,10,2024-05-16 16:43:50,2
4,6008,0.0,2580,9,6,9,10,6972,6966,6960,96,10,2024-05-16 16:44:50,2
14,6009,0.0,2689,9,6,9,10,6972,6965,6959,96,10,2024-05-16 16:45:50,2
10,6007,0.0,2696,9,6,9,10,6971,6966,6960,96,10,2024-05-16 16:46:50,2
10,5995,0.0,2538,9,6,9,10,6972,6966,6961,95,10,2024-05-16 16:47:51,2
11,6009,0.0,2670,9,6,9,10,6971,6965,6960,96,10,2024-05-16 16:48:51,2
6,6011,0.0,2488,9,6,9,10,6971,6966,6961,96,10,2024-05-16 16:49:51,2
11,6004,0.0,2587,9,6,9,10,6968,6962,6956,95,10,2024-05-16 16:50:51,2
11,5995,0.0,2719,9,6,9,10,6969,6964,6958,95,10,2024-05-16 16:51:51,2
13,5997,0.0,2634,9,6,9,10,6970,6965,6959,95,10,2024-05-16 16:52:52,2
2,6009,0.0,928,10,9,10,11,6972,6967,6962,95,11,2024-05-16 16:53:52,3
5,6011,0.0,1229,10,8,10,11,6973,6968,6962,96,10,2024-05-16 16:54:52,3
11,6011,0.0,2701,9,6,9,10,6972,6966,6961,96,10,2024-05-16 16:55:53,2
3,6013,0.0,2575,10,7,9,11,6972,6967,6962,96,10,2024-05-16 16:56:53,2
4,6011,0.0,457,17,16,17,17,6972,6967,6962,96,17,2024-05-16 16:57:53,4
14,6011,0.0,2385,10,7,9,10,6972,6966,6960,96,10,2024-05-16 16:58:54,2
13,6004,0.0,107,18,19,19,20,6968,6964,6959,97,19,2024-05-16 17:00:54,4
5,6009,0.0,520,29,31,33,34,6970,6966,6961,97,29,2024-05-16 17:01:54,6
8,6010,0.0,2790,9,6,9,10,6971,6966,6960,95,10,2024-05-16 17:02:54,2
3,6010,0.0,2871,9,6,9,10,6971,6966,6960,96,10,2024-05-16 17:03:55,2
10,6011,0.0,2732,9,6,9,10,6972,6966,6961,95,10,2024-05-16 17:04:55,2
4,5994,0.0,2743,9,6,9,10,6970,6965,6960,95,10,2024-05-16 17:05:55,2
13,6007,0.0,2789,9,6,9,10,6971,6965,6958,95,10,2024-05-16 17:06:55,2
6,6007,0.0,2665,9,6,9,10,6971,6966,6960,96,10,2024-05-16 17:07:55,2
14,5994,0.0,2636,9,6,9,10,6972,6966,6960,95,10,2024-05-16 17:08:56,2
10,6004,0.0,1818,10,8,10,11,6972,6967,6962,95,10,2024-05-16 17:09:56,3
10,6009,0.0,2811,9,6,9,10,6973,6967,6962,96,10,2024-05-16 17:10:56,2
12,6008,0.0,2609,9,6,9,10,6972,6966,6960,95,10,2024-05-16 17:11:57,2
4,6007,0.0,2671,9,6,9,10,6970,6965,6960,96,10,2024-05-16 17:12:57,2
2,6006,0.0,2752,9,6,9,10,6970,6965,6961,96,10,2024-05-16 17:13:57,2
14,6007,0.0,2652,9,6,9,10,6973,6967,6962,95,10,2024-05-16 17:14:57,2
3,6008,0.0,2806,9,6,9,10,6972,6967,6961,95,10,2024-05-16 17:15:57,2
10,6008,0.0,2728,9,6,9,10,6972,6966,6960,96,10,2024-05-16 17:16:58,2
13,6008,0.0,2667,9,6,9,10,6972,6966,6960,96,10,2024-05-16 17:17:58,2
13,6008,0.0,2587,9,6,9,10,6973,6967,6962,96,10,2024-05-16 17:18:58,2
14,6008,0.0,2567,9,6,9,10,6972,6967,6961,96,10,2024-05-16 17:19:58,2
13,6009,0.0,2593,9,6,9,10,6969,6963,6958,95,10,2024-05-16 17:20:58,2
4,6012,0.0,2368,9,6,9,10,6971,6966,6961,95,10,2024-05-16 17:21:59,2
6,6010,0.0,2629,9,6,9,10,6969,6963,6957,96,10,2024-05-16 17:22:59,2
5,6011,0.0,2472,10,7,9,10,6971,6965,6960,95,10,2024-05-16 17:23:59,2
14,6012,0.0,2580,9,6,9,10,6970,6964,6958,95,10,2024-05-16 17:24:59,2
11,6010,0.0,304,25,25,26,27,6972,6966,6959,97,25,2024-05-16 17:26:00,5
5,6006,0.0,2707,9,6,9,10,6971,6965,6960,95,10,2024-05-16 17:27:00,2
15,6003,0.0,2748,9,6,9,10,6971,6965,6959,95,10,2024-05-16 17:28:00,2
13,6006,0.0,2577,9,6,9,10,6969,6962,6956,95,10,2024-05-16 17:29:00,2
13,6000,0.0,2656,9,6,9,10,6971,6965,6959,95,10,2024-05-16 17:30:00,2
15,6000,0.0,2727,9,6,9,10,6972,6965,6959,95,10,2024-05-16 17:31:01,2
5,6010,0.0,1258,11,9,10,11,6971,6966,6960,95,11,2024-05-16 17:32:01,3
10,6009,0.0,1879,10,7,9,10,6972,6966,6960,96,10,2024-05-16 17:33:02,3
6,6009,0.0,2654,9,6,9,10,6969,6964,6958,96,10,2024-05-16 17:34:02,2
4,6005,0.0,2655,9,6,9,10,6970,6965,6959,95,10,2024-05-16 17:35:02,2
3,6006,0.0,2705,9,6,9,10,6970,6965,6960,96,10,2024-05-16 17:36:02,2
4,6003,0.0,2737,9,6,9,10,6973,6967,6961,95,10,2024-05-16 17:37:02,2
10,6003,0.0,2724,9,6,9,10,6971,6965,6959,96,10,2024-05-16 17:38:02,2
13,6008,0.0,2163,9,6,9,10,6971,6965,6959,95,10,2024-05-16 17:39:03,2
8,6008,0.0,2597,9,6,9,10,6971,6966,6960,96,10,2024-05-16 17:40:03,2
14,6008,0.0,2738,9,6,9,10,6969,6963,6957,95,10,2024-05-16 17:41:03,2
14,6000,0.0,2681,9,6,9,10,6971,6965,6958,96,10,2024-05-16 17:42:04,2
14,5997,0.0,2536,9,6,9,10,6971,6965,6959,95,10,2024-05-16 17:43:04,2
13,5998,0.0,2489,9,6,9,10,6971,6965,6958,95,10,2024-05-16 17:44:05,2
4,5997,0.0,540,23,25,26,27,6970,6964,6958,97,24,2024-05-16 17:45:05,5
14,6004,0.0,909,10,12,13,13,6971,6965,6958,96,10,2024-05-16 17:46:05,3
3,6009,0.0,2519,9,6,9,10,6972,6966,6961,96,10,2024-05-16 17:47:05,2
12,6007,0.0,23,24,26,26,25,6972,6966,6961,97,25,2024-05-16 17:48:05,5
13,5987,0.0,213,16,17,17,17,6984,6978,6972,96,17,2024-05-16 17:49:06,4
10,6007,0.0,2790,9,6,9,10,6972,6967,6961,95,10,2024-05-16 17:50:06,2
4,6008,0.0,2270,9,6,9,10,6972,6966,6960,95,10,2024-05-16 17:51:06,2
14,6009,0.0,2568,9,6,9,10,6972,6966,6960,96,10,2024-05-16 17:52:06,2
9,6008,0.0,2430,9,6,9,10,6972,6967,6961,96,10,2024-05-16 17:53:07,2
7,6009,0.0,2527,9,6,9,10,6970,6965,6959,95,10,2024-05-16 17:54:07,2
8,6008,0.0,2629,9,6,9,10,6971,6965,6960,96,10,2024-05-16 17:55:07,2
10,6003,0.0,2735,9,6,9,10,6971,6964,6958,95,10,2024-05-16 17:56:07,2
9,6012,0.0,1568,10,8,10,11,6973,6966,6960,95,10,2024-05-16 17:57:09,3
14,6012,0.0,968,10,9,10,11,6973,6967,6960,95,10,2024-05-16 17:58:09,3
5,6009,0.0,2836,9,6,9,10,6973,6966,6960,95,10,2024-05-16 18:00:09,2
8,6008,0.0,2211,10,7,9,10,6974,6968,6961,96,10,2024-05-16 18:01:10,2
5,6007,0.0,2618,9,6,9,10,6973,6968,6962,95,10,2024-05-16 18:02:10,2
4,6009,0.0,2617,9,6,9,10,6972,6967,6961,96,10,2024-05-16 18:03:10,2
8,6009,0.0,2737,9,6,9,10,6974,6968,6962,95,10,2024-05-16 18:04:11,2
15,6011,0.0,1130,10,8,9,10,6973,6966,6960,95,10,2024-05-16 18:05:11,3
6,6011,0.0,2718,9,6,9,10,6972,6966,6961,96,10,2024-05-16 18:06:11,2
14,6011,0.0,2654,9,6,9,10,6973,6967,6961,96,10,2024-05-16 18:07:12,2
14,6004,0.0,2713,9,6,9,10,6970,6964,6958,95,10,2024-05-16 18:08:12,2
12,6012,0.0,2595,9,6,9,10,6972,6966,6960,96,10,2024-05-16 18:09:12,2
6,6005,0.0,2601,9,6,9,10,6971,6966,6960,96,10,2024-05-16 18:10:12,2
3,6005,0.0,0,2,0,0,0,6973,6968,6962,100,3,2024-05-16 18:11:12,1
11,6001,0.0,0,2,0,0,0,6968,6963,6957,100,2,2024-05-16 18:12:12,1
3,6020,0.0,1287,13,12,13,15,6974,6969,6964,95,14,2024-05-16 18:13:12,3
10,6008,0.0,2233,10,7,9,10,6970,6965,6960,95,10,2024-05-16 18:14:13,3
5,6008,0.0,2631,9,6,9,10,6970,6965,6960,95,10,2024-05-16 18:15:14,2
6,6011,0.0,2738,9,6,9,10,6970,6964,6959,95,10,2024-05-16 18:16:14,2
12,6005,0.0,2639,9,6,9,10,6971,6966,6960,96,10,2024-05-16 18:17:14,2
7,6010,0.0,2690,9,6,9,10,6971,6966,6960,95,10,2024-05-16 18:18:14,2
8,6011,0.0,2762,9,6,9,10,6971,6966,6961,96,10,2024-05-16 18:19:14,2
7,6003,0.0,2748,9,6,9,10,6969,6963,6958,95,10,2024-05-16 18:20:15,2
11,5996,0.0,2701,9,6,9,10,6970,6965,6959,95,10,2024-05-16 18:21:15,2
8,6001,0.0,2693,9,6,9,10,6970,6964,6958,95,10,2024-05-16 18:22:16,2
4,6006,0.0,2508,10,7,9,10,6971,6965,6960,95,10,2024-05-16 18:23:16,2
2,6007,0.0,2515,9,6,9,10,6967,6962,6957,95,10,2024-05-16 18:24:16,2
3,6004,0.0,1189,11,9,11,12,6971,6965,6960,96,12,2024-05-16 18:25:17,3
6,6008,0.0,2733,9,6,9,10,6972,6966,6960,96,10,2024-05-16 18:26:17,2
8,6006,0.0,2087,10,8,10,11,6971,6965,6959,95,10,2024-05-16 18:27:17,3
14,6010,0.0,2718,9,6,9,10,6973,6967,6961,95,10,2024-05-16 18:28:17,2
12,6006,0.0,2728,9,6,9,10,6953,6947,6940,96,10,2024-05-16 18:29:18,2
11,6008,0.0,2419,9,6,9,10,6972,6966,6960,95,10,2024-05-16 18:30:18,2
6,6009,0.0,2669,9,6,9,10,6969,6964,6958,95,10,2024-05-16 18:31:19,2
11,6001,0.0,1140,9,10,10,11,6970,6964,6959,94,9,2024-05-16 18:32:19,3
3,6014,0.0,2375,10,7,9,10,6971,6967,6962,95,10,2024-05-16 18:33:19,2
4,6006,0.0,2744,9,6,9,10,6972,6967,6962,95,10,2024-05-16 18:34:19,2
4,6002,0.0,2673,9,6,9,10,6971,6966,6960,95,10,2024-05-16 18:35:19,2
3,6005,0.0,2348,9,7,9,10,6974,6969,6964,95,9,2024-05-16 18:36:19,3
13,6009,0.0,1493,10,8,10,11,6972,6966,6961,96,11,2024-05-16 18:37:20,3
13,5992,0.0,2074,9,7,9,10,6970,6965,6959,95,10,2024-05-16 18:38:21,3
14,5974,0.0,2096,8,6,8,9,6977,6971,6965,94,9,2024-05-16 18:39:21,3
6,5994,0.0,1496,11,9,11,13,6971,6966,6961,95,12,2024-05-16 18:40:22,3
7,6000,0.0,1084,11,13,14,15,6971,6966,6960,96,12,2024-05-16 18:41:22,3
3,5986,0.0,2500,10,6,9,10,6971,6966,6961,95,10,2024-05-16 18:42:22,2
7,6010,0.0,2438,8,6,8,10,6969,6964,6959,95,9,2024-05-16 18:43:23,3
5,6008,0.0,507,12,13,14,14,6974,6969,6963,96,12,2024-05-16 18:44:23,3
7,6011,0.0,2645,9,6,9,10,6972,6966,6961,95,10,2024-05-16 18:45:23,2
7,6009,0.0,2505,9,6,9,10,6971,6965,6960,96,10,2024-05-16 18:46:24,2
5,6002,0.0,2082,9,8,9,11,6971,6965,6960,95,10,2024-05-16 18:47:24,3
7,6000,0.0,2645,9,6,9,10,6969,6964,6958,95,10,2024-05-16 18:48:24,2
9,5994,0.0,230,12,12,12,13,6972,6967,6961,96,12,2024-05-16 18:49:25,3
12,5993,0.0,2653,9,6,9,10,6970,6965,6959,95,10,2024-05-16 18:50:25,2
14,6021,0.0,111,45,50,50,50,6964,6958,6952,97,46,2024-05-16 18:51:25,9
13,6011,0.0,2588,9,6,9,10,6971,6966,6960,96,10,2024-05-16 18:52:26,2
5,6006,0.0,2739,9,6,9,10,6969,6964,6958,95,10,2024-05-16 18:53:26,2
5,6011,0.0,2681,9,6,9,10,6970,6965,6960,95,10,2024-05-16 18:54:26,2
8,6008,0.0,2700,9,6,9,10,6970,6965,6959,95,10,2024-05-16 18:55:26,2
9,6004,0.0,2721,9,6,9,10,6971,6965,6959,95,10,2024-05-16 18:56:26,2
5,6004,0.0,0,2,0,0,0,6972,6967,6961,100,3,2024-05-16 18:57:27,1
8,6005,0.0,0,2,0,0,0,6972,6966,6961,100,2,2024-05-16 18:58:27,1
10,6003,0.0,0,2,0,0,0,6971,6966,6961,100,2,2024-05-16 19:00:27,1
3,6006,0.0,0,2,0,0,0,6970,6965,6960,100,2,2024-05-16 19:01:27,1
12,6006,0.0,0,2,0,0,0,6969,6964,6958,100,2,2024-05-16 19:02:28,1
8,6006,0.0,0,2,0,0,0,6970,6965,6960,100,2,2024-05-16 19:03:28,1
3,6005,0.0,0,2,0,0,0,6969,6964,6959,100,2,2024-05-16 19:04:28,1
14,6006,0.0,0,2,0,0,0,6973,6967,6961,100,2,2024-05-16 19:05:28,1
8,5998,0.0,0,2,0,0,0,6971,6966,6960,100,2,2024-05-16 19:06:28,1
15,6009,0.0,441,19,26,27,28,6974,6968,6961,97,20,2024-05-16 19:07:28,5
6,5996,0.0,2772,9,6,9,10,6971,6965,6959,95,10,2024-05-16 19:08:29,2
5,5987,0.0,2774,9,6,9,10,6968,6962,6956,95,10,2024-05-16 19:09:29,2
15,6013,0.0,2777,9,6,9,10,6971,6965,6959,95,10,2024-05-16 19:10:30,2
9,6011,0.0,2413,9,6,9,10,6972,6967,6962,95,10,2024-05-16 19:11:30,2
12,5999,0.0,2691,9,6,9,10,6971,6965,6958,95,10,2024-05-16 19:12:30,2
4,5992,0.0,2740,9,6,9,10,6975,6969,6964,95,10,2024-05-16 19:13:31,2
14,6007,0.0,2665,9,6,9,10,6970,6964,6959,96,10,2024-05-16 19:14:31,2
4,6005,0.0,2660,9,6,9,10,6969,6964,6959,96,10,2024-05-16 19:15:31,2
11,6004,0.0,2739,9,6,9,10,6969,6964,6959,95,10,2024-05-16 19:16:31,2
12,6012,0.0,2706,9,6,9,10,6971,6966,6960,96,10,2024-05-16 19:17:31,2
9,6009,0.0,2555,9,6,9,10,6972,6966,6961,95,10,2024-05-16 19:18:31,2
13,6009,0.0,2612,9,6,9,10,6970,6964,6959,95,10,2024-05-16 19:19:32,2
8,6010,0.0,776,10,9,10,11,6969,6964,6958,95,11,2024-05-16 19:20:32,3
8,6010,0.0,1227,11,9,11,12,6970,6965,6959,95,12,2024-05-16 19:21:32,3
15,6010,0.0,1468,11,10,11,12,6971,6965,6958,96,12,2024-05-16 19:22:32,3
3,6009,0.0,2741,9,6,9,10,6970,6965,6960,95,10,2024-05-16 19:23:33,2
11,6009,0.0,2734,9,6,9,10,6970,6965,6959,96,10,2024-05-16 19:24:33,2
14,6008,0.0,2739,9,6,9,10,6969,6964,6958,95,10,2024-05-16 19:25:33,2
12,6006,0.0,1929,10,7,9,10,6971,6965,6960,95,10,2024-05-16 19:26:34,3
6,6006,0.0,2727,9,6,9,10,6969,6964,6958,95,10,2024-05-16 19:27:34,2
9,6009,0.0,2615,9,6,9,10,6971,6965,6959,95,10,2024-05-16 19:28:34,2
5,6007,0.0,2732,9,6,9,10,6970,6964,6958,96,10,2024-05-16 19:29:34,2
3,6003,0.0,2518,9,6,9,10,6969,6964,6959,95,10,2024-05-16 19:30:35,2
5,6006,0.0,2736,9,6,9,10,6970,6965,6960,96,10,2024-05-16 19:31:35,2
7,6000,0.0,2614,9,6,9,10,6971,6965,6960,95,10,2024-05-16 19:32:35,2
13,6007,0.0,2710,9,6,9,10,6970,6964,6958,96,10,2024-05-16 19:33:35,2
6,5980,0.0,672,16,20,21,22,6980,6974,6967,96,17,2024-05-16 19:34:35,4
15,5996,0.0,2626,9,6,9,10,6969,6963,6957,95,9,2024-05-16 19:35:36,3
14,6022,0.0,1023,11,10,11,12,6972,6966,6960,95,12,2024-05-16 19:36:36,3
12,6014,0.0,2590,9,6,9,10,6971,6966,6960,95,10,2024-05-16 19:37:36,2
3,6010,0.0,72,26,28,29,29,6970,6965,6960,97,27,2024-05-16 19:38:36,5
3,6003,0.0,2384,9,6,9,10,6969,6964,6959,96,10,2024-05-16 19:39:36,2
3,6003,0.0,2721,9,6,9,10,6969,6965,6960,95,10,2024-05-16 19:40:36,2
3,6011,0.0,2554,9,6,9,10,6971,6965,6960,95,10,2024-05-16 19:41:37,2
5,6008,0.0,2598,9,6,9,10,6971,6966,6960,95,10,2024-05-16 19:42:37,2
9,6010,0.0,2647,9,6,9,10,6973,6968,6962,96,10,2024-05-16 19:43:37,2
13,6007,0.0,2671,9,6,9,10,6972,6967,6961,95,10,2024-05-16 19:44:37,2
11,6006,0.0,2674,9,6,9,10,6972,6966,6960,95,10,2024-05-16 19:45:37,2
5,5999,0.0,2560,9,6,9,10,6971,6965,6959,95,10,2024-05-16 19:46:38,2
4,6021,0.0,274,13,13,13,13,6971,6966,6961,96,14,2024-05-16 19:47:38,3
13,5994,0.0,10000,6,0,6,7,6973,6968,6962,100,7,2024-05-16 19:48:38,3
11,6007,0.0,2702,9,6,9,10,6972,6966,6960,95,10,2024-05-16 19:49:39,2
7,6008,0.0,1725,9,8,10,11,6970,6965,6959,95,10,2024-05-16 19:50:39,3
8,6004,0.0,2648,9,6,9,10,6972,6966,6960,95,10,2024-05-16 19:51:39,2
7,6012,0.0,2750,9,6,9,10,6969,6963,6958,96,10,2024-05-16 19:52:40,2
3,6004,0.0,1998,10,7,9,10,6974,6969,6964,95,10,2024-05-16 19:53:40,2
10,6003,0.0,2381,9,6,9,10,6972,6967,6962,95,10,2024-05-16 19:54:41,2
12,6005,0.0,2465,8,6,8,9,6971,6966,6960,95,9,2024-05-16 19:55:41,2
12,6006,0.0,2322,9,7,9,10,6970,6964,6959,95,10,2024-05-16 19:56:42,2
12,6005,0.0,2530,9,6,9,10,6970,6964,6959,95,10,2024-05-16 19:57:42,2
9,6005,0.0,2566,9,6,9,10,6970,6964,6958,95,10,2024-05-16 19:58:43,2
10,6006,0.0,2465,9,6,9,10,6970,6965,6959,96,10,2024-05-16 20:00:43,2
11,6006,0.0,1018,10,9,10,11,6971,6966,6961,95,11,2024-05-16 20:01:43,3
8,6007,0.0,2652,9,6,9,10,6970,6965,6960,95,10,2024-05-16 20:02:44,2
13,6009,0.0,2317,10,7,9,10,6971,6966,6960,95,10,2024-05-16 20:03:44,2
10,6010,0.0,1225,10,9,10,10,6968,6964,6959,95,11,2024-05-16 20:04:44,3
3,6009,0.0,1178,10,8,10,11,6970,6965,6961,95,11,2024-05-16 20:05:45,3
8,6010,0.0,1580,9,8,9,10,6970,6965,6960,95,10,2024-05-16 20:06:45,3
9,6009,0.0,2722,9,6,9,10,6972,6966,6960,96,10,2024-05-16 20:07:45,2
2,6009,0.0,2715,9,6,9,10,6969,6964,6959,96,10,2024-05-16 20:08:45,2
13,6009,0.0,2581,9,6,9,10,6970,6965,6960,95,10,2024-05-16 20:09:45,2
4,6008,0.0,1860,9,7,9,10,6972,6966,6961,95,9,2024-05-16 20:10:45,3
14,6009,0.0,2615,9,6,9,10,6970,6964,6959,96,10,2024-05-16 20:11:46,2
12,6011,0.0,2063,10,7,9,10,6970,6965,6959,96,10,2024-05-16 20:12:46,2
8,6011,0.0,2017,9,7,9,11,6971,6966,6960,95,10,2024-05-16 20:13:46,3
8,6011,0.0,1903,10,8,10,11,6970,6964,6958,95,11,2024-05-16 20:14:47,3
8,6010,0.0,2627,9,6,9,10,6970,6965,6959,96,10,2024-05-16 20:15:47,2
16,6011,0.0,2661,9,6,9,10,6971,6964,6957,95,10,2024-05-16 20:16:47,2
13,6012,0.0,629,24,24,25,26,6970,6964,6957,97,24,2024-05-16 20:17:47,5
6,6013,0.0,2572,9,6,9,10,6968,6963,6957,96,10,2024-05-16 20:18:47,2
15,6006,0.0,2600,9,6,9,10,6970,6964,6957,96,10,2024-05-16 20:19:48,2
5,5995,0.0,2715,9,6,9,10,6968,6963,6957,95,10,2024-05-16 20:20:48,2
14,6003,0.0,2553,9,6,9,10,6969,6963,6957,96,10,2024-05-16 20:21:48,2
12,5992,0.0,2696,9,6,9,10,6967,6961,6955,96,10,2024-05-16 20:22:48,2
11,6006,0.0,2756,9,6,9,10,6969,6963,6957,95,10,2024-05-16 20:23:48,2
14,6003,0.0,2713,9,6,9,10,6970,6964,6958,95,10,2024-05-16 20:24:49,2
8,6005,0.0,2772,9,6,9,10,6970,6965,6959,96,10,2024-05-16 20:25:49,2
14,6006,0.0,2740,9,6,9,10,6968,6963,6957,95,10,2024-05-16 20:26:49,2
4,6005,0.0,2754,9,6,9,10,6972,6967,6962,95,10,2024-05-16 20:27:49,2
3,6006,0.0,1121,11,9,11,12,6971,6965,6960,95,12,2024-05-16 20:28:49,3
3,6006,0.0,1935,9,7,9,10,6970,6965,6960,95,9,2024-05-16 20:29:50,3
5,6006,0.0,2651,9,6,9,10,6969,6964,6958,95,10,2024-05-16 20:30:50,2
8,6005,0.0,2076,10,7,9,10,6970,6964,6958,96,10,2024-05-16 20:31:50,2
4,6007,0.0,2177,10,7,9,10,6972,6967,6963,95,10,2024-05-16 20:32:51,3
5,6008,0.0,2674,9,6,9,10,6970,6965,6959,95,10,2024-05-16 20:33:51,2
4,6008,0.0,1896,10,7,9,10,6971,6966,6960,95,10,2024-05-16 20:34:52,3
14,6008,0.0,184,11,10,11,12,6970,6965,6959,95,12,2024-05-16 20:35:52,3
8,6008,0.0,2608,9,6,9,10,6970,6964,6959,95,10,2024-05-16 20:36:52,2
11,6009,0.0,2573,9,6,8,10,6969,6964,6959,95,9,2024-05-16 20:37:52,3
10,6010,0.0,1090,11,10,11,12,6971,6965,6960,96,12,2024-05-16 20:38:53,3
12,6010,0.0,1935,10,6,9,10,6973,6967,6961,95,10,2024-05-16 20:39:53,2
10,6010,0.0,1973,10,8,9,11,6973,6967,6961,95,10,2024-05-16 20:40:53,2
12,6010,0.0,2478,9,6,9,10,6973,6967,6961,95,10,2024-05-16 20:41:54,2
10,6008,0.0,2547,9,6,9,10,6973,6967,6961,96,10,2024-05-16 20:42:54,2
5,6008,0.0,2685,9,6,9,10,6972,6967,6962,96,10,2024-05-16 20:43:54,2
9,6007,0.0,2545,9,6,9,10,6972,6966,6960,95,10,2024-05-16 20:44:54,2
10,6008,0.0,2774,9,6,9,10,6971,6965,6959,95,10,2024-05-16 20:45:55,2
9,6007,0.0,2722,9,6,9,10,6972,6966,6960,95,10,2024-05-16 20:46:55,2
4,6005,0.0,3323,7,3,7,8,6971,6966,6960,99,7,2024-05-16 20:47:55,1
11,6008,0.0,2669,9,6,9,10,6972,6966,6960,95,10,2024-05-16 20:48:55,2
5,6007,0.0,2776,9,6,9,10,6970,6965,6960,96,10,2024-05-16 20:49:55,2
15,6005,0.0,2790,9,6,9,10,6973,6967,6961,95,10,2024-05-16 20:50:55,2
8,6006,0.0,1995,10,8,10,11,6970,6965,6959,95,10,2024-05-16 20:51:56,3
